dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,,50096,2.415649,2.516693,0.015693,0.016071
alice29.txt,bsc,bsc,,40558,0.171423,0.171717,0.102869,0.103045
alice29.txt,bzip2,bzip2,1,45995,0.127719,0.127849,0.046881,0.046942
alice29.txt,bzip2,bzip2,2,43202,0.127938,0.128052,0.055196,0.055306
alice29.txt,bzip2,bzip2,3,43202,0.126978,0.127101,0.055160,0.055245
alice29.txt,bzip2,bzip2,4,43202,0.133208,0.135538,0.055125,0.055183
alice29.txt,bzip2,bzip2,5,43202,0.127542,0.127668,0.055170,0.055237
alice29.txt,bzip2,bzip2,6,43202,0.127560,0.127690,0.055124,0.055180
alice29.txt,bzip2,bzip2,7,43202,0.127263,0.127480,0.056204,0.058690
alice29.txt,bzip2,bzip2,8,43202,0.129140,0.129258,0.055246,0.055302
alice29.txt,bzip2,bzip2,9,43202,0.129226,0.129348,0.055189,0.055249
alice29.txt,copy,copy,,152089,0.002523,0.002541,0.002516,0.002534
alice29.txt,crush,crush,0,62188,0.510675,0.520316,0.218099,0.218615
alice29.txt,crush,crush,1,57160,0.639576,0.640366,0.216031,0.216471
alice29.txt,crush,crush,2,55992,0.820265,0.821808,0.215889,0.216455
alice29.txt,csc,csc,1,55556,0.547952,0.550815,0.027727,0.027961
alice29.txt,csc,csc,2,53184,0.804932,0.819366,0.026549,0.026782
alice29.txt,csc,csc,3,51561,0.989670,0.994212,0.026875,0.027105
alice29.txt,csc,csc,4,50159,1.067987,1.072052,0.026198,0.026427
alice29.txt,csc,csc,5,49394,3.920517,42.097473,0.026046,0.026471
alice29.txt,density,density,1,102171,0.009030,0.009142,0.007182,0.007206
alice29.txt,density,density,7,98649,0.018842,0.019089,0.016178,0.016208
alice29.txt,density,density,9,84564,0.030390,0.030838,0.028081,0.028135
alice29.txt,fari,fari,,63004,0.083024,0.088261,0.093588,0.093712
alice29.txt,fastlz,fastlz,1,85452,0.005425,0.005684,0.003611,0.003630
alice29.txt,fastlz,fastlz,2,84749,0.005314,0.005340,0.003685,0.003701
alice29.txt,gipfeli,gipfeli,,70625,0.018109,0.018200,0.007655,0.007691
alice29.txt,lz4,lz4,10,64398,0.082722,0.082863,0.002938,0.003170
alice29.txt,lz4,lz4,11,63686,0.115546,0.115702,0.002846,0.002863
alice29.txt,lz4,lz4,12,63663,0.130745,0.130913,0.002849,0.002867
alice29.txt,lz4,lz4,13,63663,0.141431,0.141585,0.002841,0.002860
alice29.txt,lz4,lz4,14,63663,0.131126,0.154195,0.002847,0.002863
alice29.txt,lz4,lz4,7,90735,0.005530,0.006387,0.003432,0.003454
alice29.txt,lz4,lz4,8,73155,0.034769,0.036283,0.003028,0.003047
alice29.txt,lz4,lz4,9,66785,0.054465,0.054608,0.002896,0.002913
alice29.txt,lz4,lz4f,0,90772,0.010362,0.010391,0.004763,0.004780
alice29.txt,lz4,lz4f,10,63699,0.132255,0.132445,0.004048,0.004288
alice29.txt,lz4,lz4f,11,63696,0.137869,0.138084,0.003955,0.003973
alice29.txt,lz4,lz4f,12,63696,0.135964,0.136092,0.003920,0.003937
alice29.txt,lz4,lz4f,13,63696,0.136678,0.136833,0.003925,0.003943
alice29.txt,lz4,lz4f,14,63696,0.136665,0.136809,0.003929,0.003949
alice29.txt,lz4,lz4f,15,63696,0.144070,0.151389,0.003945,0.003966
alice29.txt,lz4,lz4f,16,63696,0.137544,0.142264,0.003930,0.003947
alice29.txt,lz4,lz4f,1,90772,0.010371,0.010399,0.004802,0.005014
alice29.txt,lz4,lz4f,2,90772,0.010379,0.010405,0.004744,0.004763
alice29.txt,lz4,lz4f,3,69399,0.047986,0.052570,0.004083,0.004100
alice29.txt,lz4,lz4f,4,66818,0.059394,0.059469,0.004030,0.004049
