dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brieflz,brieflz,,67440,0.026045,0.027476,0.008060,0.008084
alice29.txt,brotli,brotli,1,57266,0.047230,0.050491,0.008836,0.008879
alice29.txt,brotli,brotli,2,56880,0.052903,0.054774,0.008630,0.008660
alice29.txt,brotli,brotli,3,56389,0.058102,0.059294,0.008595,0.008966
alice29.txt,brotli,brotli,4,55492,0.077845,0.077955,0.007890,0.007926
alice29.txt,brotli,brotli,5,52807,0.116498,0.116648,0.007778,0.007806
alice29.txt,brotli,brotli,6,51970,0.134455,0.134623,0.007865,0.008417
alice29.txt,brotli,brotli,7,51457,0.180593,0.180807,0.007611,0.007639
alice29.txt,brotli,brotli,8,51190,0.232665,0.233064,0.007564,0.007589
alice29.txt,brotli,brotli,9,51056,0.297625,0.297927,0.007640,0.007666
alice29.txt,brotli,brotli,10,47107,5.050201,5.087408,0.008175,0.008204
alice29.txt,brotli,brotli,11,47107,5.051392,5.066746,0.008199,0.008225
alice29.txt,bsc,bsc,,40558,0.185745,0.202940,0.102110,0.102299
alice29.txt,bzip2,bzip2,1,45995,0.128822,0.128985,0.046923,0.046991
alice29.txt,bzip2,bzip2,2,43202,0.127888,0.128044,0.057026,0.060675
alice29.txt,bzip2,bzip2,3,43202,0.129030,0.129192,0.055380,0.055446
alice29.txt,bzip2,bzip2,4,43202,0.130744,0.130931,0.057176,0.057313
alice29.txt,bzip2,bzip2,5,43202,0.129074,0.129241,0.055408,0.055479
alice29.txt,bzip2,bzip2,6,43202,0.128181,0.128358,0.055327,0.055395
alice29.txt,bzip2,bzip2,7,43202,0.129553,0.129706,0.055403,0.055475
alice29.txt,bzip2,bzip2,8,43202,0.130795,0.131013,0.055436,0.055508
alice29.txt,bzip2,bzip2,9,43202,0.130499,0.130715,0.055407,0.055477
alice29.txt,copy,copy,,152089,0.002409,0.002429,0.002418,0.002438
alice29.txt,crush,crush,0,62188,0.503195,0.506463,0.212210,0.214630
alice29.txt,crush,crush,1,57160,0.631630,0.634918,0.213737,0.221033
alice29.txt,crush,crush,2,55992,0.813311,0.877183,0.219945,0.222590
alice29.txt,csc,csc,1,52294,0.540451,0.544336,0.033452,0.033748
alice29.txt,csc,csc,2,51480,0.772984,0.777776,0.032868,0.033178
alice29.txt,csc,csc,3,49748,0.903264,0.906831,0.032691,0.033016
alice29.txt,csc,csc,4,49343,0.937129,0.976305,0.032444,0.032754
alice29.txt,csc,csc,5,49019,3.393021,36.973163,0.032806,0.034379
alice29.txt,density,density,1,102171,0.008253,0.008380,0.007096,0.007133
alice29.txt,density,density,7,98649,0.018900,0.019147,0.015886,0.015925
alice29.txt,density,density,9,93193,0.035586,0.036721,0.032077,0.032145
alice29.txt,fari,fari,,63004,0.080912,0.081089,0.093933,0.097648
alice29.txt,fastlz,fastlz,1,85452,0.007440,0.007473,0.008066,0.008090
alice29.txt,fastlz,fastlz,2,84749,0.007564,0.007598,0.008155,0.008185
alice29.txt,gipfeli,gipfeli,,70625,0.019001,0.019090,0.007531,0.007563
alice29.txt,lz4,lz4f,0,90772,0.012218,0.012252,0.004899,0.004920
alice29.txt,lz4,lz4f,1,90772,0.012248,0.012288,0.005058,0.005354
alice29.txt,lz4,lz4f,2,90772,0.012219,0.012272,0.004887,0.004909
alice29.txt,lz4,lz4f,3,69399,0.053575,0.053659,0.004213,0.004460
alice29.txt,lz4,lz4f,4,66818,0.068218,0.068341,0.004099,0.004120
alice29.txt,lz4,lz4f,5,65259,0.085287,0.094647,0.004245,0.004496
alice29.txt,lz4,lz4f,6,64430,0.108817,0.130975,0.004138,0.004386
alice29.txt,lz4,lz4f,7,63989,0.119678,0.119833,0.004031,0.004049
alice29.txt,lz4,lz4f,8,63782,0.135442,0.135629,0.003994,0.004014
alice29.txt,lz4,lz4f,9,63719,0.146718,0.146908,0.003996,0.004018
alice29.txt,lz4,lz4f,10,63699,0.164221,0.172592,0.004015,0.004036
alice29.txt,lz4,lz4f,11,63696,0.161795,0.161983,0.004057,0.004077
alice29.txt,lz4,lz4f,12,63696,0.161118,0.161305,0.003991,0.004012
alice29.txt,lz4,lz4f,13,63696,0.163091,0.163395,0.004061,0.004237
alice29.txt,lz4,lz4f,14,63696,0.162732,0.162943,0.004087,0.004106
alice29.txt,lz4,lz4f,15,63696,0.159385,0.159569,0.003999,0.004020
alice29.txt,lz4,lz4f,16,63696,0.159608,0.159788,0.004006,0.004029
alice29.txt,lz4,lz4,1,131789,0.006145,0.006179,0.009053,0.009571
alice29.txt,lz4,lz4,2,125471,0.006597,0.006629,0.007380,0.007410
alice29.txt,lz4,lz4,3,118317,0.007064,0.007244,0.007492,0.007522
alice29.txt,lz4,lz4,4,103925,0.007833,0.007858,0.007758,0.007790
alice29.txt,lz4,lz4,5,96244,0.008268,0.008298,0.007958,0.008634
alice29.txt,lz4,lz4,6,92653,0.008544,0.008574,0.007953,0.007981
alice29.txt,lz4,lz4,7,90735,0.008758,0.008793,0.007981,0.008011
alice29.txt,lz4,lz4,8,73155,0.040920,0.040983,0.007770,0.007800
alice29.txt,lz4,lz4,9,66785,0.064815,0.064988,0.007735,0.008176
alice29.txt,lz4,lz4,10,64398,0.100118,0.100254,0.006523,0.006548
alice29.txt,lz4,lz4,11,63686,0.132332,0.132499,0.006546,0.006572
alice29.txt,lz4,lz4,12,63663,0.144841,0.145039,0.006540,0.006570
alice29.txt,lz4,lz4,13,63663,0.144889,0.150765,0.006529,0.006552
alice29.txt,lz4,lz4,14,63663,0.145591,0.145793,0.006533,0.006558
alice29.txt,lzf,lzf,,82926,0.012529,0.013940,0.007779,0.007811
alice29.txt,lzg,lzg,1,96003,0.045910,0.046023,0.004014,0.004031
alice29.txt,lzg,lzg,2,92919,0.049953,0.050019,0.003973,0.003993
alice29.txt,lzg,lzg,3,89310,0.058241,0.058409,0.003898,0.003919
alice29.txt,lzg,lzg,4,85415,0.074755,0.074867,0.003777,0.003796
alice29.txt,lzg,lzg,5,81564,0.103988,0.104145,0.003719,0.003735
alice29.txt,lzg,lzg,6,78666,0.166665,0.166849,0.003834,0.004118
alice29.txt,lzg,lzg,7,76631,0.266549,0.266869,0.003692,0.003710
alice29.txt,lzg,lzg,8,76153,0.323627,0.323987,0.003648,0.003669
alice29.txt,lzg,lzg,9,75718,0.474643,0.488266,0.003671,0.003689
alice29.txt,lzham,lzham,0,62360,0.283591,0.284033,0.017559,0.017598
alice29.txt,lzham,lzham,1,51593,0.590830,0.591789,0.014838,0.014875
alice29.txt,lzham,lzham,2,51204,0.623105,0.623924,0.014895,0.014933
alice29.txt,lzham,lzham,3,51176,0.634876,0.636163,0.015118,0.015156
alice29.txt,lzham,lzham,4,51175,0.636589,0.637468,0.014907,0.014938
alice29.txt,lzjb,lzjb,,109146,0.008093,0.008125,0.008402,0.008433
alice29.txt,lzma,lzma1,1,54147,0.180459,0.180868,0.022281,0.022325
alice29.txt,lzma,lzma1,2,52670,0.236081,0.236716,0.021595,0.021659
alice29.txt,lzma,lzma1,3,52072,0.293991,0.294412,0.021406,0.021443
alice29.txt,lzma,lzma1,4,48828,0.512921,0.513679,0.020770,0.020803
alice29.txt,lzma,lzma1,5,48454,0.608229,0.609218,0.020823,0.020865
alice29.txt,lzma,lzma1,6,48435,0.619656,0.620520,0.020800,0.020839
alice29.txt,lzma,lzma1,7,48435,0.645332,0.646280,0.021436,0.022252
alice29.txt,lzma,lzma1,8,48435,0.691105,0.813279,0.022338,0.023550
alice29.txt,lzma,lzma1,9,48435,0.671955,0.672956,0.023149,0.023195
alice29.txt,lzma,lzma2,1,54148,0.181277,0.181533,0.022406,0.022442
alice29.txt,lzma,lzma2,2,52671,0.236227,0.236478,0.021716,0.021766
alice29.txt,lzma,lzma2,3,52073,0.303291,0.303744,0.021563,0.021613
alice29.txt,lzma,lzma2,4,48829,0.513138,0.513880,0.020876,0.020913
alice29.txt,lzma,lzma2,5,48455,0.608727,0.609570,0.021411,0.024189
alice29.txt,lzma,lzma2,6,48436,0.621501,0.622310,0.020918,0.020954
alice29.txt,lzma,lzma2,7,48436,0.646950,0.647966,0.021273,0.021308
alice29.txt,lzma,lzma2,8,48436,0.670258,0.671240,0.022234,0.023434
alice29.txt,lzma,lzma2,9,48436,0.673420,0.674448,0.023243,0.023294
alice29.txt,lzma,lzma,1,54160,0.180614,0.180995,0.022301,0.022348
alice29.txt,lzma,lzma,2,52683,0.238745,0.239090,0.021614,0.021665
alice29.txt,lzma,lzma,3,52085,0.299857,0.300398,0.021445,0.021481
alice29.txt,lzma,lzma,4,48841,0.513766,0.514573,0.020777,0.020834
alice29.txt,lzma,lzma,5,48467,0.616201,0.617078,0.020763,0.020804
alice29.txt,lzma,lzma,6,48448,0.613926,0.614731,0.020817,0.020876
alice29.txt,lzma,lzma,7,48448,0.652050,0.688143,0.021138,0.021173
alice29.txt,lzma,lzma,8,48448,0.671017,0.672629,0.021825,0.021889
alice29.txt,lzma,lzma,9,48448,0.679577,0.696570,0.023150,0.023192
alice29.txt,lzma,xz,1,54204,0.182959,0.183161,0.023710,0.023743
alice29.txt,lzma,xz,2,52728,0.238307,0.238965,0.023073,0.023119
alice29.txt,lzma,xz,3,52132,0.304696,0.305124,0.022837,0.022884
alice29.txt,lzma,xz,4,48888,0.515143,0.515904,0.022131,0.022165
alice29.txt,lzma,xz,5,48512,0.612318,0.613110,0.022187,0.022225
alice29.txt,lzma,xz,6,48492,0.616313,0.616901,0.022786,0.024448
alice29.txt,lzma,xz,7,48492,0.647587,0.648450,0.022575,0.022615
alice29.txt,lzma,xz,8,48492,0.673447,0.674467,0.023251,0.023293
alice29.txt,lzma,xz,9,48492,0.674225,0.676004,0.024583,0.024633
alice29.txt,lzo,lzo1b,1,82443,0.008335,0.008362,0.008032,0.008064
alice29.txt,lzo,lzo1b,2,79695,0.008630,0.008658,0.007960,0.007989
alice29.txt,lzo,lzo1b,3,77929,0.008767,0.008794,0.007992,0.008185
alice29.txt,lzo,lzo1b,4,79582,0.010009,0.010603,0.007988,0.008010
alice29.txt,lzo,lzo1b,5,77618,0.009890,0.009927,0.007929,0.007957
alice29.txt,lzo,lzo1b,6,76372,0.010949,0.010980,0.007926,0.007955
alice29.txt,lzo,lzo1b,7,75906,0.011560,0.011594,0.008020,0.008370
alice29.txt,lzo,lzo1b,8,74249,0.012923,0.012953,0.007944,0.007968
alice29.txt,lzo,lzo1b,9,74217,0.013675,0.013709,0.007965,0.007992
alice29.txt,lzo,lzo1b,99,71203,0.024752,0.024802,0.007976,0.008008
alice29.txt,lzo,lzo1b,999,59904,0.312735,0.325209,0.006661,0.006685
alice29.txt,lzo,lzo1c,1,84861,0.008337,0.008367,0.008019,0.008047
alice29.txt,lzo,lzo1c,2,81976,0.008535,0.008560,0.008016,0.008041
alice29.txt,lzo,lzo1c,3,80251,0.008790,0.008829,0.008128,0.008480
alice29.txt,lzo,lzo1c,4,80433,0.009743,0.009769,0.008066,0.008090
alice29.txt,lzo,lzo1c,5,78670,0.010270,0.010295,0.008041,0.008067
alice29.txt,lzo,lzo1c,6,77697,0.010993,0.011036,0.008057,0.008429
alice29.txt,lzo,lzo1c,7,76605,0.011970,0.012004,0.008020,0.008046
alice29.txt,lzo,lzo1c,8,75493,0.012996,0.013053,0.008017,0.008047
alice29.txt,lzo,lzo1c,9,75539,0.013401,0.013431,0.008025,0.008053
alice29.txt,lzo,lzo1c,99,73005,0.022955,0.023021,0.008066,0.008697
alice29.txt,lzo,lzo1c,999,64375,0.076896,0.077020,0.006727,0.006753
alice29.txt,lzo,lzo1f,1,87221,0.008937,0.008979,0.008129,0.008160
alice29.txt,lzo,lzo1f,999,67480,0.090776,0.090880,0.007924,0.007953
alice29.txt,lzo,lzo1x,1,86781,0.007206,0.007237,0.008101,0.008129
alice29.txt,lzo,lzo1x,11,94262,0.007187,0.007222,0.008028,0.008058
alice29.txt,lzo,lzo1x,12,90055,0.007090,0.007121,0.008080,0.008108
alice29.txt,lzo,lzo1x,15,87814,0.007044,0.007073,0.008290,0.008773
alice29.txt,lzo,lzo1x,999,61646,0.347133,0.347529,0.006813,0.006841
alice29.txt,lzo,lzo1y,1,88894,0.007183,0.007220,0.008107,0.008138
alice29.txt,lzo,lzo1y,999,62433,0.337549,0.337922,0.006810,0.006834
alice29.txt,lzo,lzo1z,999,61950,0.370409,0.393388,0.006921,0.006950
alice29.txt,ms-compress,lznt1,,88252,0.046298,0.046368,0.004399,0.004591
alice29.txt,ms-compress,xpress,,68563,0.026797,0.026838,0.007742,0.007770
alice29.txt,ms-compress,xpress-huffman,,59166,0.049262,0.049408,0.007583,0.007907
alice29.txt,ncompress,compress,,62247,0.030087,0.030140,0.009823,0.009858
alice29.txt,pithy,pithy,0,93270,0.007430,0.007454,0.003390,0.003409
alice29.txt,pithy,pithy,1,92311,0.007759,0.007788,0.003387,0.003409
alice29.txt,pithy,pithy,2,87767,0.008140,0.008615,0.003392,0.003411
alice29.txt,pithy,pithy,3,85554,0.008407,0.008439,0.003336,0.003354
alice29.txt,pithy,pithy,4,82692,0.008824,0.008853,0.003318,0.003338
alice29.txt,pithy,pithy,5,81344,0.009028,0.009061,0.003298,0.003316
alice29.txt,pithy,pithy,6,79471,0.011014,0.011062,0.003245,0.003262
alice29.txt,pithy,pithy,7,78854,0.011490,0.011533,0.003246,0.003266
alice29.txt,pithy,pithy,8,77850,0.014604,0.014641,0.003262,0.003410
alice29.txt,pithy,pithy,9,77561,0.015130,0.015165,0.003202,0.003220
alice29.txt,quicklz,quicklz,,83495,0.006740,0.006774,0.006196,0.006217
alice29.txt,snappy,snappy,,88017,0.007743,0.007777,0.003672,0.003690
alice29.txt,snappy,snappy-framed,,88057,0.008375,0.008404,0.006214,0.006238
alice29.txt,wflz,wflz,1,103150,0.013734,0.014552,0.003031,0.003049
alice29.txt,wflz,wflz,2,84045,16.542786,16.552910,0.002899,0.002917
alice29.txt,wflz,wflz-chunked,1,112992,0.014380,0.014454,0.002634,0.002652
alice29.txt,wflz,wflz-chunked,2,103888,2.912964,2.915244,0.002637,0.002657
alice29.txt,yalz77,yalz77,,78809,0.044639,0.044740,0.008335,0.008362
alice29.txt,zlib,deflate,1,65130,0.028319,0.028368,0.005543,0.005563
alice29.txt,zlib,deflate,2,62270,0.033135,0.033219,0.005460,0.005782
alice29.txt,zlib,deflate,3,59488,0.045812,0.045890,0.005147,0.005167
alice29.txt,zlib,deflate,4,57679,0.044980,0.045098,0.005130,0.005149
alice29.txt,zlib,deflate,5,55616,0.066545,0.066668,0.005043,0.005064
alice29.txt,zlib,deflate,6,54398,0.093488,0.093657,0.004925,0.004946
alice29.txt,zlib,deflate,7,54253,0.105119,0.105309,0.004918,0.004937
