dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brieflz,brieflz,,67440,0.002096,0.002098,0.001219,0.001220
alice29.txt,brotli,brotli,1,57266,0.002278,0.002280,0.000674,0.000674
alice29.txt,brotli,brotli,2,56880,0.002773,0.002775,0.000652,0.000652
alice29.txt,brotli,brotli,3,56389,0.003030,0.003032,0.000648,0.000666
alice29.txt,brotli,brotli,4,55492,0.004138,0.004160,0.000633,0.000634
alice29.txt,brotli,brotli,5,52807,0.006923,0.006928,0.000607,0.000608
alice29.txt,brotli,brotli,6,51970,0.008222,0.008226,0.000592,0.000593
alice29.txt,brotli,brotli,7,51457,0.012792,0.012799,0.000585,0.000586
alice29.txt,brotli,brotli,8,51190,0.016930,0.016940,0.000583,0.000584
alice29.txt,brotli,brotli,9,51056,0.024023,0.024036,0.000584,0.000584
alice29.txt,brotli,brotli,10,47107,0.336643,0.336813,0.000675,0.000676
alice29.txt,brotli,brotli,11,47107,0.335124,0.335294,0.000674,0.000675
alice29.txt,bsc,bsc,,40558,0.014952,0.014960,0.008477,0.008482
alice29.txt,bzip2,bzip2,1,45995,0.014279,0.014287,0.004945,0.004948
alice29.txt,bzip2,bzip2,2,43202,0.013968,0.013975,0.005104,0.005107
alice29.txt,bzip2,bzip2,3,43202,0.013891,0.013899,0.005101,0.005104
alice29.txt,bzip2,bzip2,4,43202,0.013905,0.013912,0.005103,0.005106
alice29.txt,bzip2,bzip2,5,43202,0.013894,0.013902,0.005103,0.005106
alice29.txt,bzip2,bzip2,6,43202,0.013901,0.013908,0.004890,0.004893
alice29.txt,bzip2,bzip2,7,43202,0.013901,0.013909,0.004970,0.004972
alice29.txt,bzip2,bzip2,8,43202,0.014009,0.014017,0.004931,0.004933
alice29.txt,bzip2,bzip2,9,43202,0.013792,0.013800,0.004892,0.004894
alice29.txt,copy,copy,,152089,0.000084,0.000084,0.000087,0.000087
alice29.txt,crush,crush,0,62188,0.041414,0.041388,0.001374,0.001361
alice29.txt,crush,crush,1,57160,0.054776,0.054762,0.001291,0.001278
alice29.txt,crush,crush,2,55992,0.061762,0.061750,0.001287,0.001277
alice29.txt,csc,csc,1,52294,0.062417,0.062416,0.004683,0.004664
alice29.txt,csc,csc,2,51480,0.087488,0.087500,0.004581,0.004562
alice29.txt,csc,csc,3,49748,0.096719,0.096740,0.004645,0.004626
alice29.txt,csc,csc,4,49343,0.102994,0.103098,0.004396,0.004378
alice29.txt,csc,csc,5,49019,0.217633,0.217872,0.004625,0.004605
alice29.txt,density,density,1,102171,0.000386,0.000387,0.000312,0.000312
alice29.txt,density,density,7,98649,0.000683,0.000684,0.000598,0.000599
alice29.txt,density,density,9,93193,0.001716,0.001718,0.001792,0.001793
alice29.txt,fari,fari,,63004,0.005997,0.006001,0.007847,0.007851
alice29.txt,fastlz,fastlz,1,85452,0.001231,0.001232,0.001706,0.001707
alice29.txt,fastlz,fastlz,2,84749,0.001243,0.001244,0.001724,0.001726
alice29.txt,gipfeli,gipfeli,,70625,0.001368,0.001369,0.000637,0.000638
alice29.txt,lz4,lz4f,0,88742,0.000748,0.000749,0.000250,0.000250
alice29.txt,lz4,lz4f,1,88742,0.000748,0.000749,0.000256,0.000257
alice29.txt,lz4,lz4f,2,88742,0.000742,0.000743,0.000250,0.000250
alice29.txt,lz4,lz4f,3,69399,0.003069,0.003071,0.000263,0.000264
alice29.txt,lz4,lz4f,4,66818,0.003864,0.003866,0.000259,0.000259
alice29.txt,lz4,lz4f,5,65259,0.004822,0.004825,0.000256,0.000257
alice29.txt,lz4,lz4f,6,64430,0.005851,0.005855,0.000254,0.000255
alice29.txt,lz4,lz4f,7,63989,0.006933,0.006937,0.000253,0.000254
alice29.txt,lz4,lz4f,8,63782,0.007600,0.007605,0.000253,0.000254
alice29.txt,lz4,lz4f,9,63719,0.008329,0.008333,0.000253,0.000254
alice29.txt,lz4,lz4f,10,63699,0.009068,0.009073,0.000259,0.000259
alice29.txt,lz4,lz4f,11,63696,0.009213,0.009218,0.000253,0.000254
alice29.txt,lz4,lz4f,12,63696,0.009319,0.009324,0.000253,0.000253
alice29.txt,lz4,lz4f,13,63696,0.009301,0.009306,0.000253,0.000254
alice29.txt,lz4,lz4f,14,63696,0.009254,0.009259,0.000255,0.000256
alice29.txt,lz4,lz4f,15,63696,0.009263,0.009268,0.000253,0.000253
alice29.txt,lz4,lz4f,16,63696,0.009292,0.009297,0.000253,0.000254
alice29.txt,lz4,lz4,1,142520,0.000720,0.000720,0.001905,0.001907
alice29.txt,lz4,lz4,2,138914,0.000750,0.000751,0.001913,0.001915
alice29.txt,lz4,lz4,3,131230,0.000783,0.000784,0.001926,0.001927
alice29.txt,lz4,lz4,4,114924,0.000889,0.000890,0.001542,0.001544
alice29.txt,lz4,lz4,5,102284,0.000964,0.000965,0.001552,0.001553
alice29.txt,lz4,lz4,6,93430,0.001027,0.001028,0.001543,0.001544
alice29.txt,lz4,lz4,7,88699,0.001060,0.001061,0.001542,0.001543
alice29.txt,lz4,lz4,8,73155,0.002399,0.002401,0.001561,0.001563
alice29.txt,lz4,lz4,9,66785,0.003596,0.003599,0.001558,0.001559
alice29.txt,lz4,lz4,10,64398,0.005438,0.005441,0.001144,0.001146
