dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,1,59665,0.004600,0.004571,0.001274,0.001261
alice29.txt,brotli,brotli,2,58890,0.004632,0.004608,0.001258,0.001243
alice29.txt,brotli,brotli,3,58018,0.005371,0.005342,0.001162,0.001148
alice29.txt,brotli,brotli,4,57331,0.006559,0.006529,0.001203,0.001190
alice29.txt,brotli,brotli,5,52814,0.009889,0.009858,0.001112,0.001100
alice29.txt,brotli,brotli,6,51977,0.010825,0.010798,0.001104,0.001092
alice29.txt,brotli,brotli,7,51464,0.036663,0.036596,0.001136,0.001121
alice29.txt,brotli,brotli,8,51197,0.048087,0.048010,0.001164,0.001150
alice29.txt,brotli,brotli,9,51063,0.064077,0.064024,0.001168,0.001153
alice29.txt,brotli,brotli,10,46577,0.429513,0.429451,0.001186,0.001171
alice29.txt,brotli,brotli,11,46577,0.425082,0.425026,0.001174,0.001160
alice29.txt,bsc,bsc,,40558,0.017091,0.017093,0.009967,0.009969
alice29.txt,bzip2,bzip2,1,45995,0.015432,0.015434,0.005416,0.005417
alice29.txt,bzip2,bzip2,2,43202,0.015238,0.015239,0.005579,0.005581
alice29.txt,bzip2,bzip2,3,43202,0.015288,0.015289,0.005579,0.005580
alice29.txt,bzip2,bzip2,4,43202,0.015240,0.015242,0.005598,0.005600
alice29.txt,bzip2,bzip2,5,43202,0.015281,0.015282,0.005577,0.005578
alice29.txt,bzip2,bzip2,6,43202,0.015252,0.015254,0.005584,0.005586
alice29.txt,bzip2,bzip2,7,43202,0.016350,0.016351,0.005702,0.005703
alice29.txt,bzip2,bzip2,8,43202,0.015313,0.015314,0.005604,0.005605
alice29.txt,bzip2,bzip2,9,43202,0.015233,0.015235,0.005575,0.005576
alice29.txt,copy,copy,,152089,0.000128,0.000130,0.000129,0.000131
alice29.txt,crush,crush,0,62188,0.138804,0.138768,0.028298,0.028222
alice29.txt,crush,crush,1,57160,0.148027,0.147967,0.027675,0.027608
alice29.txt,crush,crush,2,55992,0.174225,0.174177,0.027375,0.027296
alice29.txt,csc,csc,1,52294,0.122144,0.122153,0.005769,0.005749
alice29.txt,csc,csc,2,51480,0.140004,0.139993,0.006214,0.006193
alice29.txt,csc,csc,3,49748,0.178500,0.178551,0.005514,0.005493
alice29.txt,csc,csc,4,49343,0.176961,0.176923,0.005801,0.005780
alice29.txt,csc,csc,5,49019,0.294122,0.294088,0.005685,0.005665
alice29.txt,density,density,1,102171,0.000474,0.000475,0.000377,0.000378
alice29.txt,density,density,7,98649,0.000743,0.000745,0.000622,0.000624
alice29.txt,density,density,9,93193,0.001544,0.001546,0.001565,0.001566
alice29.txt,fari,fari,,63004,0.006743,0.006745,0.008256,0.008257
alice29.txt,fastlz,fastlz,1,85452,0.000926,0.000928,0.000532,0.000533
alice29.txt,fastlz,fastlz,2,84749,0.000947,0.000949,0.000550,0.000552
alice29.txt,gipfeli,gipfeli,,70625,0.001050,0.001053,0.000655,0.000657
alice29.txt,lz4,lz4f,0,88742,0.000850,0.000851,0.000250,0.000251
alice29.txt,lz4,lz4f,1,88742,0.000856,0.000857,0.000250,0.000251
alice29.txt,lz4,lz4f,2,88742,0.000856,0.000858,0.000250,0.000252
alice29.txt,lz4,lz4f,3,69399,0.003329,0.003330,0.000250,0.000251
alice29.txt,lz4,lz4f,4,66818,0.004237,0.004239,0.000247,0.000249
alice29.txt,lz4,lz4f,5,65259,0.005283,0.005284,0.000245,0.000246
alice29.txt,lz4,lz4f,6,64430,0.006399,0.006401,0.000244,0.000245
alice29.txt,lz4,lz4f,7,63989,0.007476,0.007477,0.000243,0.000244
alice29.txt,lz4,lz4f,8,63782,0.008360,0.008362,0.000244,0.000246
alice29.txt,lz4,lz4f,9,63719,0.009177,0.009179,0.000244,0.000246
alice29.txt,lz4,lz4f,10,63699,0.009917,0.009918,0.000244,0.000245
alice29.txt,lz4,lz4f,11,63696,0.010121,0.010123,0.000243,0.000245
alice29.txt,lz4,lz4f,12,63696,0.010146,0.010147,0.000242,0.000244
alice29.txt,lz4,lz4f,13,63696,0.010100,0.010102,0.000244,0.000246
alice29.txt,lz4,lz4f,14,63696,0.010116,0.010118,0.000242,0.000244
alice29.txt,lz4,lz4f,15,63696,0.010088,0.010090,0.000245,0.000246
alice29.txt,lz4,lz4f,16,63696,0.010117,0.010119,0.000242,0.000244
alice29.txt,lz4,lz4,1,142520,0.000178,0.000180,0.000077,0.000078
alice29.txt,lz4,lz4,2,138914,0.000217,0.000219,0.000084,0.000086
alice29.txt,lz4,lz4,3,131230,0.000287,0.000289,0.000102,0.000103
alice29.txt,lz4,lz4,4,114924,0.000418,0.000419,0.000128,0.000130
alice29.txt,lz4,lz4,5,102284,0.000526,0.000528,0.000134,0.000135
alice29.txt,lz4,lz4,6,93430,0.000600,0.000602,0.000131,0.000133
alice29.txt,lz4,lz4,7,88699,0.000654,0.000655,0.000130,0.000132
alice29.txt,lz4,lz4,8,73155,0.002402,0.002403,0.000144,0.000146
alice29.txt,lz4,lz4,9,66785,0.003773,0.003775,0.000137,0.000138
alice29.txt,lz4,lz4,10,64398,0.005772,0.005773,0.000136,0.000138
alice29.txt,lz4,lz4,11,63686,0.008342,0.008343,0.000132,0.000134
alice29.txt,lz4,lz4,12,63663,0.009054,0.009056,0.000133,0.000134
alice29.txt,lz4,lz4,13,63663,0.009204,0.009205,0.000133,0.000135
alice29.txt,lz4,lz4,14,63663,0.009350,0.009351,0.000132,0.000134
alice29.txt,lzf,lzf,,82926,0.000985,0.000986,0.000480,0.000482
alice29.txt,lzg,lzg,1,96003,0.047198,0.047214,0.000604,0.000605
alice29.txt,lzg,lzg,2,92919,0.047950,0.047953,0.000616,0.000617
alice29.txt,lzg,lzg,3,89310,0.048334,0.048339,0.000618,0.000620
alice29.txt,lzg,lzg,4,85415,0.050257,0.050266,0.000599,0.000600
alice29.txt,lzg,lzg,5,81564,0.052262,0.052270,0.000565,0.000566
alice29.txt,lzg,lzg,6,78666,0.055381,0.055389,0.000533,0.000534
alice29.txt,lzg,lzg,7,76631,0.060630,0.060643,0.000508,0.000509
alice29.txt,lzg,lzg,8,76153,0.064319,0.064322,0.000504,0.000506
alice29.txt,lzg,lzg,9,75718,0.074406,0.074418,0.000498,0.000500
alice29.txt,lzham,lzham,0,62443,0.082028,0.017713,0.001834,0.001836
alice29.txt,lzham,lzham,1,51680,0.139605,0.024704,0.001439,0.001441
alice29.txt,lzham,lzham,2,51336,0.144355,0.025501,0.001448,0.001449
alice29.txt,lzham,lzham,3,51256,0.147281,0.025569,0.001438,0.001439
alice29.txt,lzham,lzham,4,51255,0.146650,0.025828,0.001444,0.001446
alice29.txt,lzjb,lzjb,,109146,0.001109,0.001111,0.000703,0.000705
alice29.txt,lzma,lzma1,1,54147,0.014341,0.014343,0.004164,0.004165
alice29.txt,lzma,lzma1,2,52670,0.017957,0.017959,0.003774,0.003776
alice29.txt,lzma,lzma1,3,52072,0.022180,0.022184,0.003745,0.003747
alice29.txt,lzma,lzma1,4,48828,0.050578,0.050581,0.003545,0.003547
alice29.txt,lzma,lzma1,5,48454,0.059508,0.059514,0.003565,0.003566
alice29.txt,lzma,lzma1,6,48435,0.060354,0.060357,0.003556,0.003558
alice29.txt,lzma,lzma1,7,48435,0.064838,0.064841,0.003533,0.003535
alice29.txt,lzma,lzma1,8,48435,0.075763,0.075766,0.003539,0.003540
alice29.txt,lzma,lzma1,9,48435,0.075927,0.075940,0.003521,0.003523
alice29.txt,lzma,lzma2,1,54148,0.014553,0.014555,0.003939,0.003940
alice29.txt,lzma,lzma2,2,52671,0.018042,0.018044,0.003771,0.003773
alice29.txt,lzma,lzma2,3,52073,0.021959,0.021961,0.003713,0.003715
alice29.txt,lzma,lzma2,4,48829,0.049863,0.049865,0.003567,0.003569
alice29.txt,lzma,lzma2,5,48455,0.059749,0.059752,0.003539,0.003541
alice29.txt,lzma,lzma2,6,48436,0.061019,0.061021,0.003522,0.003524
alice29.txt,lzma,lzma2,7,48436,0.065853,0.065855,0.003522,0.003524
alice29.txt,lzma,lzma2,8,48436,0.076977,0.076984,0.003525,0.003527
alice29.txt,lzma,lzma2,9,48436,0.076883,0.076886,0.003524,0.003526
alice29.txt,lzma,lzma,1,54160,0.014263,0.014265,0.003955,0.003956
alice29.txt,lzma,lzma,2,52683,0.017866,0.017868,0.003784,0.003786
alice29.txt,lzma,lzma,3,52085,0.022178,0.022180,0.003701,0.003702
alice29.txt,lzma,lzma,4,48841,0.050778,0.050780,0.003568,0.003570
alice29.txt,lzma,lzma,5,48467,0.058936,0.058939,0.003519,0.003521
alice29.txt,lzma,lzma,6,48448,0.060422,0.060424,0.003517,0.003518
alice29.txt,lzma,lzma,7,48448,0.065079,0.065082,0.003527,0.003529
alice29.txt,lzma,lzma,8,48448,0.076352,0.076355,0.003734,0.003735
alice29.txt,lzma,lzma,9,48448,0.079534,0.079537,0.003526,0.003528
alice29.txt,lzma,xz,1,54204,0.014994,0.014997,0.004113,0.004114
alice29.txt,lzma,xz,2,52728,0.018187,0.018190,0.004009,0.004010
alice29.txt,lzma,xz,3,52132,0.022337,0.022339,0.003879,0.003880
alice29.txt,lzma,xz,4,48888,0.050716,0.050719,0.003727,0.003728
alice29.txt,lzma,xz,5,48512,0.059573,0.059575,0.003693,0.003695
alice29.txt,lzma,xz,6,48492,0.060398,0.060401,0.003697,0.003699
alice29.txt,lzma,xz,7,48492,0.065840,0.065842,0.003697,0.003698
alice29.txt,lzma,xz,8,48492,0.075853,0.075856,0.003699,0.003701
alice29.txt,lzma,xz,9,48492,0.075784,0.075786,0.003697,0.003699
alice29.txt,lzo,lzo1a,1,88743,0.000968,0.000970,0.000498,0.000499
alice29.txt,lzo,lzo1a,99,74629,0.002479,0.002483,0.000445,0.000447
alice29.txt,lzo,lzo1b,1,82443,0.001245,0.001246,0.000539,0.000540
alice29.txt,lzo,lzo1b,2,79695,0.001225,0.001226,0.000521,0.000523
alice29.txt,lzo,lzo1b,3,77929,0.001230,0.001234,0.000502,0.000503
alice29.txt,lzo,lzo1b,4,79582,0.001276,0.001278,0.000521,0.000522
alice29.txt,lzo,lzo1b,5,77618,0.001294,0.001295,0.000505,0.000506
alice29.txt,lzo,lzo1b,6,76372,0.001362,0.001365,0.000498,0.000500
alice29.txt,lzo,lzo1b,7,75906,0.001696,0.001697,0.000513,0.000515
alice29.txt,lzo,lzo1b,8,74249,0.001730,0.001732,0.000502,0.000503
alice29.txt,lzo,lzo1b,9,74217,0.001709,0.001713,0.000507,0.000508
alice29.txt,lzo,lzo1b,99,71203,0.002398,0.002399,0.000505,0.000507
alice29.txt,lzo,lzo1b,999,59904,0.016718,0.016720,0.000432,0.000433
alice29.txt,lzo,lzo1c,1,84861,0.001228,0.001231,0.000512,0.000514
alice29.txt,lzo,lzo1c,2,81976,0.001198,0.001199,0.000499,0.000501
alice29.txt,lzo,lzo1c,3,80251,0.001244,0.001245,0.000491,0.000492
alice29.txt,lzo,lzo1c,4,80433,0.001431,0.001434,0.000506,0.000508
alice29.txt,lzo,lzo1c,5,78670,0.001389,0.001391,0.000494,0.000495
alice29.txt,lzo,lzo1c,6,77697,0.001470,0.001472,0.000487,0.000489
alice29.txt,lzo,lzo1c,7,76605,0.001918,0.001923,0.000501,0.000503
alice29.txt,lzo,lzo1c,8,75493,0.001988,0.001990,0.000491,0.000493
alice29.txt,lzo,lzo1c,9,75539,0.001807,0.001808,0.000491,0.000492
alice29.txt,lzo,lzo1c,99,73005,0.002602,0.002606,0.000490,0.000492
alice29.txt,lzo,lzo1c,999,64375,0.008787,0.008789,0.000466,0.000468
alice29.txt,lzo,lzo1f,1,87221,0.001405,0.001407,0.000554,0.000556
alice29.txt,lzo,lzo1f,999,67480,0.010600,0.010601,0.000495,0.000496
alice29.txt,lzo,lzo1x,1,86781,0.000689,0.000691,0.000546,0.000548
alice29.txt,lzo,lzo1x,11,94262,0.000665,0.000666,0.000542,0.000543
alice29.txt,lzo,lzo1x,12,90055,0.000678,0.000681,0.000553,0.000555
alice29.txt,lzo,lzo1x,15,87814,0.000684,0.000686,0.000551,0.000552
alice29.txt,lzo,lzo1x,999,61646,0.031218,0.031220,0.000502,0.000504
alice29.txt,lzo,lzo1y,1,88894,0.000672,0.000674,0.000535,0.000537
alice29.txt,lzo,lzo1y,999,62433,0.031472,0.031474,0.000505,0.000506
alice29.txt,lzo,lzo1z,999,61950,0.031303,0.031304,0.000516,0.000518
alice29.txt,lzo,lzo1,1,89547,0.000979,0.000982,0.000575,0.000577
alice29.txt,lzo,lzo1,99,74930,0.002481,0.002483,0.000520,0.000521
alice29.txt,ms-compress,lznt1,,88252,0.005799,0.005801,0.000500,0.000502
alice29.txt,ms-compress,xpress,,68563,0.003166,0.003168,0.000322,0.000324
alice29.txt,ms-compress,xpress-huffman,,59166,0.005099,0.005101,0.000603,0.000605
alice29.txt,ncompress,compress,,62247,0.002183,0.002184,0.001190,0.001192
alice29.txt,pithy,pithy,0,93270,0.000728,0.000731,0.000242,0.000244
alice29.txt,pithy,pithy,1,92311,0.000734,0.000735,0.000247,0.000249
alice29.txt,pithy,pithy,2,87767,0.000720,0.000721,0.000233,0.000235
