dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brieflz,brieflz,,67440,0.011794,0.011804,0.004657,0.004662
alice29.txt,brotli,brotli,1,57266,0.021159,0.021277,0.004993,0.004999
alice29.txt,brotli,brotli,2,56880,0.023417,0.023437,0.004969,0.004976
alice29.txt,brotli,brotli,3,56389,0.026840,0.026897,0.004816,0.004823
alice29.txt,brotli,brotli,4,55492,0.038929,0.038987,0.004495,0.004501
alice29.txt,brotli,brotli,5,52807,0.057486,0.057500,0.004400,0.004407
alice29.txt,brotli,brotli,6,51970,0.068521,0.068566,0.004444,0.004451
alice29.txt,brotli,brotli,7,51457,0.097939,0.097961,0.004328,0.004335
alice29.txt,brotli,brotli,8,51190,0.131475,0.131544,0.004311,0.004318
alice29.txt,brotli,brotli,9,51056,0.179831,0.179913,0.004386,0.004393
alice29.txt,brotli,brotli,10,47107,2.308314,2.314338,0.004631,0.004638
alice29.txt,brotli,brotli,11,47107,2.222433,2.223076,0.004692,0.004699
alice29.txt,bsc,bsc,,40558,0.086237,0.086280,0.048237,0.048262
alice29.txt,bzip2,bzip2,1,45995,0.068501,0.068527,0.022174,0.022186
alice29.txt,bzip2,bzip2,2,43202,0.069816,0.069865,0.026162,0.026177
alice29.txt,bzip2,bzip2,3,43202,0.069515,0.069550,0.026429,0.026438
alice29.txt,bzip2,bzip2,4,43202,0.070624,0.070669,0.026921,0.026943
alice29.txt,bzip2,bzip2,5,43202,0.070437,0.070478,0.027228,0.027259
alice29.txt,bzip2,bzip2,6,43202,0.068861,0.068908,0.028045,0.028059
alice29.txt,bzip2,bzip2,7,43202,0.068776,0.068794,0.026731,0.026742
alice29.txt,bzip2,bzip2,8,43202,0.070439,0.070494,0.026646,0.026657
alice29.txt,bzip2,bzip2,9,43202,0.070362,0.070394,0.027243,0.027260
alice29.txt,copy,copy,,152089,0.001078,0.001083,0.001066,0.001071
alice29.txt,crush,crush,0,62188,0.293644,0.293764,0.128601,0.128756
alice29.txt,crush,crush,1,57160,0.351442,0.351653,0.125543,0.125546
alice29.txt,crush,crush,2,55992,0.420829,0.420965,0.126776,0.126837
alice29.txt,csc,csc,1,52294,0.304238,0.304377,0.017853,0.017803
alice29.txt,csc,csc,2,51480,0.433759,0.434115,0.017668,0.017609
alice29.txt,csc,csc,3,49748,0.499261,0.499455,0.017382,0.017326
alice29.txt,csc,csc,4,49343,0.514195,0.514341,0.017534,0.017484
alice29.txt,csc,csc,5,49019,0.973548,0.974060,0.017294,0.017239
alice29.txt,density,density,1,102171,0.003649,0.003666,0.003000,0.003007
alice29.txt,density,density,7,98649,0.008773,0.008840,0.007348,0.007358
alice29.txt,density,density,9,93193,0.018733,0.019074,0.016962,0.016977
alice29.txt,fari,fari,,63004,0.030871,0.030881,0.034548,0.034565
alice29.txt,fastlz,fastlz,1,85452,0.005024,0.005029,0.005183,0.005190
alice29.txt,fastlz,fastlz,2,84749,0.005285,0.005291,0.005472,0.005479
alice29.txt,gipfeli,gipfeli,,70625,0.010573,0.010581,0.004110,0.004116
alice29.txt,lz4,lz4f,0,90772,0.006246,0.006252,0.002138,0.002143
alice29.txt,lz4,lz4f,1,90772,0.006129,0.006137,0.002147,0.002153
alice29.txt,lz4,lz4f,2,90772,0.006087,0.006093,0.002039,0.002043
alice29.txt,lz4,lz4f,3,69399,0.022398,0.022406,0.001805,0.001809
alice29.txt,lz4,lz4f,4,66818,0.028897,0.028914,0.001809,0.001813
alice29.txt,lz4,lz4f,5,65259,0.034484,0.034499,0.001772,0.001777
alice29.txt,lz4,lz4f,6,64430,0.043887,0.043901,0.001763,0.001768
alice29.txt,lz4,lz4f,7,63989,0.052159,0.052190,0.001772,0.001775
alice29.txt,lz4,lz4f,8,63782,0.058967,0.058982,0.001789,0.001793
alice29.txt,lz4,lz4f,9,63719,0.066253,0.066289,0.001748,0.001752
alice29.txt,lz4,lz4f,10,63699,0.068368,0.068394,0.001791,0.001796
alice29.txt,lz4,lz4f,11,63696,0.072092,0.072135,0.001833,0.001838
alice29.txt,lz4,lz4f,12,63696,0.072176,0.072196,0.001761,0.001765
alice29.txt,lz4,lz4f,13,63696,0.072175,0.072184,0.001775,0.001779
alice29.txt,lz4,lz4f,14,63696,0.074001,0.074040,0.001810,0.001814
alice29.txt,lz4,lz4f,15,63696,0.072996,0.073022,0.001853,0.001858
alice29.txt,lz4,lz4f,16,63696,0.076056,0.076085,0.001858,0.001862
alice29.txt,lz4,lz4,1,131789,0.003938,0.003944,0.005880,0.005886
alice29.txt,lz4,lz4,2,125471,0.004062,0.004068,0.004827,0.004834
alice29.txt,lz4,lz4,3,118317,0.004354,0.004359,0.004975,0.004984
alice29.txt,lz4,lz4,4,103925,0.004667,0.004673,0.004923,0.004930
alice29.txt,lz4,lz4,5,96244,0.004903,0.004909,0.005157,0.005165
alice29.txt,lz4,lz4,6,92653,0.005023,0.005029,0.005057,0.005065
alice29.txt,lz4,lz4,7,90735,0.005322,0.005327,0.005023,0.005031
alice29.txt,lz4,lz4,8,73155,0.017739,0.017747,0.004998,0.005005
alice29.txt,lz4,lz4,9,66785,0.026326,0.026337,0.005040,0.005047
alice29.txt,lz4,lz4,10,64398,0.042025,0.042039,0.004286,0.004291
alice29.txt,lz4,lz4,11,63686,0.056650,0.056672,0.004274,0.004279
alice29.txt,lz4,lz4,12,63663,0.063407,0.063442,0.004220,0.004226
alice29.txt,lz4,lz4,13,63663,0.061113,0.061125,0.004284,0.004290
alice29.txt,lz4,lz4,14,63663,0.062187,0.062199,0.004286,0.004292
alice29.txt,lzf,lzf,,82926,0.005612,0.005619,0.005012,0.005019
alice29.txt,lzg,lzg,1,96003,0.024276,0.024285,0.002186,0.002190
alice29.txt,lzg,lzg,2,92919,0.028781,0.028790,0.002211,0.002215
alice29.txt,lzg,lzg,3,89310,0.031824,0.031838,0.002084,0.002088
