dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brieflz,brieflz,,67440,0.001957,0.001956,0.000997,0.000997
alice29.txt,brotli,brotli,1,57266,0.001821,0.001820,0.000582,0.000582
alice29.txt,brotli,brotli,2,56880,0.002141,0.002140,0.000571,0.000572
alice29.txt,brotli,brotli,3,56389,0.002376,0.002375,0.000553,0.000553
alice29.txt,brotli,brotli,4,55492,0.003251,0.003249,0.000553,0.000553
alice29.txt,brotli,brotli,5,52807,0.005320,0.005316,0.000531,0.000531
alice29.txt,brotli,brotli,6,51970,0.006110,0.006106,0.000520,0.000520
alice29.txt,brotli,brotli,7,51457,0.009405,0.009399,0.000517,0.000517
alice29.txt,brotli,brotli,8,51190,0.012451,0.012445,0.000514,0.000514
alice29.txt,brotli,brotli,9,51056,0.017534,0.017527,0.000516,0.000516
alice29.txt,brotli,brotli,10,47107,0.245698,0.245519,0.000609,0.000609
alice29.txt,brotli,brotli,11,47107,0.245600,0.245406,0.000609,0.000609
alice29.txt,bsc,bsc,,40558,0.012469,0.012460,0.007226,0.007220
alice29.txt,bzip2,bzip2,1,45995,0.011900,0.011891,0.004029,0.004026
alice29.txt,bzip2,bzip2,2,43202,0.011355,0.011346,0.004269,0.004266
alice29.txt,bzip2,bzip2,3,43202,0.011357,0.011348,0.004271,0.004268
alice29.txt,bzip2,bzip2,4,43202,0.011365,0.011356,0.004270,0.004267
alice29.txt,bzip2,bzip2,5,43202,0.011363,0.011355,0.004271,0.004268
alice29.txt,bzip2,bzip2,6,43202,0.011359,0.011351,0.004273,0.004270
alice29.txt,bzip2,bzip2,7,43202,0.011358,0.011350,0.004274,0.004271
alice29.txt,bzip2,bzip2,8,43202,0.011363,0.011354,0.004273,0.004270
alice29.txt,bzip2,bzip2,9,43202,0.011360,0.011351,0.004271,0.004268
alice29.txt,copy,copy,,152089,0.000099,0.000099,0.000091,0.000091
alice29.txt,crush,crush,0,62188,0.046605,0.046529,0.016645,0.016622
alice29.txt,crush,crush,1,57160,0.052685,0.052611,0.016619,0.016593
alice29.txt,crush,crush,2,55992,0.063246,0.063160,0.016652,0.016626
alice29.txt,csc,csc,1,52294,0.046533,0.046466,0.003598,0.003588
alice29.txt,csc,csc,2,51480,0.068437,0.068354,0.003519,0.003509
alice29.txt,csc,csc,3,49748,0.079617,0.079537,0.003423,0.003414
alice29.txt,csc,csc,4,49343,0.082264,0.082178,0.003414,0.003405
alice29.txt,csc,csc,5,49019,0.154654,0.154507,0.003399,0.003390
alice29.txt,density,density,1,102171,0.000350,0.000350,0.000271,0.000271
alice29.txt,density,density,7,98649,0.000564,0.000564,0.000451,0.000451
alice29.txt,density,density,9,93193,0.001129,0.001129,0.001112,0.001112
alice29.txt,fari,fari,,63004,0.004628,0.004625,0.006035,0.006031
alice29.txt,fastlz,fastlz,1,85452,0.000984,0.000983,0.001301,0.001300
alice29.txt,fastlz,fastlz,2,84749,0.001006,0.001006,0.001309,0.001309
alice29.txt,gipfeli,gipfeli,,70625,0.001053,0.001052,0.000448,0.000447
alice29.txt,lz4,lz4f,0,88742,0.000610,0.000610,0.000222,0.000222
alice29.txt,lz4,lz4f,1,88742,0.000610,0.000610,0.000222,0.000222
alice29.txt,lz4,lz4f,2,88742,0.000609,0.000609,0.000222,0.000222
alice29.txt,lz4,lz4f,3,69399,0.002453,0.002451,0.000228,0.000228
alice29.txt,lz4,lz4f,4,66818,0.003110,0.003108,0.000224,0.000224
alice29.txt,lz4,lz4f,5,65259,0.003922,0.003919,0.000221,0.000221
alice29.txt,lz4,lz4f,6,64430,0.004793,0.004790,0.000220,0.000220
alice29.txt,lz4,lz4f,7,63989,0.005594,0.005590,0.000219,0.000219
alice29.txt,lz4,lz4f,8,63782,0.006290,0.006285,0.000218,0.000219
alice29.txt,lz4,lz4f,9,63719,0.006852,0.006847,0.000218,0.000218
alice29.txt,lz4,lz4f,10,63699,0.007327,0.007321,0.000218,0.000218
alice29.txt,lz4,lz4f,11,63696,0.007539,0.007533,0.000218,0.000218
alice29.txt,lz4,lz4f,12,63696,0.007543,0.007537,0.000218,0.000219
alice29.txt,lz4,lz4f,13,63696,0.007565,0.007559,0.000219,0.000219
alice29.txt,lz4,lz4f,14,63696,0.007548,0.007543,0.000219,0.000219
alice29.txt,lz4,lz4f,15,63696,0.007578,0.007572,0.000219,0.000219
alice29.txt,lz4,lz4f,16,63696,0.007615,0.007610,0.000218,0.000219
alice29.txt,lz4,lz4,1,142520,0.000592,0.000591,0.001601,0.001600
alice29.txt,lz4,lz4,2,138914,0.000609,0.000608,0.001609,0.001608
alice29.txt,lz4,lz4,3,131230,0.000646,0.000646,0.001612,0.001611
alice29.txt,lz4,lz4,4,114924,0.000720,0.000720,0.001183,0.001182
alice29.txt,lz4,lz4,5,102284,0.000781,0.000781,0.001178,0.001178
alice29.txt,lz4,lz4,6,93430,0.000814,0.000814,0.001185,0.001185
alice29.txt,lz4,lz4,7,88699,0.000839,0.000839,0.001194,0.001193
alice29.txt,lz4,lz4,8,73155,0.001911,0.001910,0.001213,0.001212
alice29.txt,lz4,lz4,9,66785,0.002887,0.002885,0.001216,0.001216
alice29.txt,lz4,lz4,10,64398,0.004404,0.004401,0.000890,0.000889
alice29.txt,lz4,lz4,11,63686,0.006388,0.006383,0.000891,0.000890
alice29.txt,lz4,lz4,12,63663,0.007118,0.007112,0.000890,0.000889
alice29.txt,lz4,lz4,13,63663,0.007135,0.007129,0.000890,0.000889
alice29.txt,lz4,lz4,14,63663,0.007029,0.007024,0.000887,0.000887
alice29.txt,lzf,lzf,,82926,0.001032,0.001031,0.001270,0.001269
alice29.txt,lzg,lzg,1,96003,0.033470,0.033447,0.000443,0.000443
alice29.txt,lzg,lzg,2,92919,0.034098,0.034075,0.000452,0.000452
alice29.txt,lzg,lzg,3,89310,0.034736,0.034716,0.000453,0.000452
alice29.txt,lzg,lzg,4,85415,0.035671,0.035644,0.000441,0.000441
alice29.txt,lzg,lzg,5,81564,0.037574,0.037560,0.000419,0.000419
alice29.txt,lzg,lzg,6,78666,0.040237,0.040217,0.000398,0.000398
alice29.txt,lzg,lzg,7,76631,0.044935,0.044908,0.000381,0.000381
alice29.txt,lzg,lzg,8,76153,0.048260,0.048222,0.000378,0.000378
alice29.txt,lzg,lzg,9,75718,0.057067,0.057042,0.000374,0.000374
alice29.txt,lzham,lzham,0,62403,0.037868,0.012824,0.001243,0.001243
alice29.txt,lzham,lzham,1,51651,0.062821,0.022733,0.000985,0.000985
alice29.txt,lzham,lzham,2,51286,0.065559,0.023898,0.000981,0.000980
alice29.txt,lzham,lzham,3,51194,0.066602,0.024418,0.000979,0.000979
alice29.txt,lzham,lzham,4,51218,0.066604,0.024410,0.000981,0.000981
alice29.txt,lzjb,lzjb,,109146,0.001051,0.001051,0.001365,0.001364
alice29.txt,lzma,lzma1,1,54147,0.010470,0.010464,0.002893,0.002891
alice29.txt,lzma,lzma1,2,52670,0.013126,0.013116,0.002763,0.002761
alice29.txt,lzma,lzma1,3,52072,0.016430,0.016417,0.002720,0.002718
alice29.txt,lzma,lzma1,4,48828,0.036571,0.036543,0.002606,0.002604
alice29.txt,lzma,lzma1,5,48454,0.042622,0.042594,0.002585,0.002583
alice29.txt,lzma,lzma1,6,48435,0.043022,0.042988,0.002588,0.002586
alice29.txt,lzma,lzma1,7,48435,0.047373,0.047336,0.002588,0.002587
alice29.txt,lzma,lzma1,8,48435,0.055463,0.055427,0.002589,0.002587
alice29.txt,lzma,lzma1,9,48435,0.055480,0.055438,0.002588,0.002587
alice29.txt,lzma,lzma2,1,54148,0.010545,0.010538,0.002904,0.002902
alice29.txt,lzma,lzma2,2,52671,0.013234,0.013224,0.002781,0.002779
alice29.txt,lzma,lzma2,3,52073,0.016454,0.016442,0.002740,0.002738
alice29.txt,lzma,lzma2,4,48829,0.036410,0.036381,0.002625,0.002623
alice29.txt,lzma,lzma2,5,48455,0.042579,0.042547,0.002603,0.002602
alice29.txt,lzma,lzma2,6,48436,0.042850,0.042820,0.002610,0.002608
alice29.txt,lzma,lzma2,7,48436,0.047260,0.047224,0.002609,0.002607
alice29.txt,lzma,lzma2,8,48436,0.055314,0.055281,0.002607,0.002606
alice29.txt,lzma,lzma2,9,48436,0.055624,0.055584,0.002613,0.002611
alice29.txt,lzma,lzma,1,54160,0.010367,0.010359,0.002971,0.002969
alice29.txt,lzma,lzma,2,52683,0.013083,0.013073,0.002845,0.002843
alice29.txt,lzma,lzma,3,52085,0.016367,0.016355,0.002800,0.002798
alice29.txt,lzma,lzma,4,48841,0.036223,0.036198,0.002685,0.002683
alice29.txt,lzma,lzma,5,48467,0.042344,0.042312,0.002661,0.002659
alice29.txt,lzma,lzma,6,48448,0.042679,0.042651,0.002667,0.002665
alice29.txt,lzma,lzma,7,48448,0.047031,0.047000,0.002669,0.002667
alice29.txt,lzma,lzma,8,48448,0.055056,0.055014,0.002666,0.002665
alice29.txt,lzma,lzma,9,48448,0.055044,0.055001,0.002687,0.002685
alice29.txt,lzma,xz,1,54204,0.010650,0.010642,0.003033,0.003031
alice29.txt,lzma,xz,2,52728,0.013291,0.013281,0.002909,0.002907
alice29.txt,lzma,xz,3,52132,0.016608,0.016595,0.002867,0.002865
alice29.txt,lzma,xz,4,48888,0.036495,0.036467,0.002752,0.002750
alice29.txt,lzma,xz,5,48512,0.042684,0.042652,0.002729,0.002727
alice29.txt,lzma,xz,6,48492,0.042970,0.042938,0.002735,0.002733
alice29.txt,lzma,xz,7,48492,0.047401,0.047367,0.002735,0.002733
alice29.txt,lzma,xz,8,48492,0.055433,0.055391,0.002736,0.002734
alice29.txt,lzma,xz,9,48492,0.055457,0.055422,0.002735,0.002733
alice29.txt,lzo,lzo1b,1,82443,0.001145,0.001144,0.001298,0.001297
alice29.txt,lzo,lzo1b,2,79695,0.001132,0.001131,0.001294,0.001293
alice29.txt,lzo,lzo1b,3,77929,0.001137,0.001136,0.001289,0.001288
alice29.txt,lzo,lzo1b,4,79582,0.001212,0.001211,0.001299,0.001298
