dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,1,59665,0.014529,0.014447,0.003794,0.003730
alice29.txt,brotli,brotli,2,58890,0.019626,0.035350,0.003655,0.003608
alice29.txt,brotli,brotli,3,58018,0.018424,0.018368,0.003597,0.003611
alice29.txt,brotli,brotli,4,57331,0.025756,0.025668,0.003652,0.003587
alice29.txt,brotli,brotli,5,52814,0.044163,0.044093,0.003526,0.003464
alice29.txt,brotli,brotli,6,51977,0.052896,0.052822,0.003483,0.003419
alice29.txt,brotli,brotli,7,51464,0.078038,0.079411,0.003436,0.003378
alice29.txt,brotli,brotli,8,51197,0.101417,0.101335,0.003454,0.003393
alice29.txt,brotli,brotli,9,51063,0.142700,0.142640,0.003453,0.003391
alice29.txt,brotli,brotli,10,46577,1.649776,1.664016,0.003625,0.003567
alice29.txt,brotli,brotli,11,46577,1.640399,1.640727,0.003617,0.003557
alice29.txt,bsc,bsc,,40558,0.063420,0.063436,0.034401,0.034413
alice29.txt,bzip2,bzip2,1,45995,0.055217,0.055223,0.016405,0.016688
alice29.txt,bzip2,bzip2,2,43202,0.054612,0.054618,0.019163,0.019168
alice29.txt,bzip2,bzip2,3,43202,0.054291,0.054297,0.018894,0.018900
alice29.txt,bzip2,bzip2,4,43202,0.054450,0.054464,0.018928,0.018937
alice29.txt,bzip2,bzip2,5,43202,0.054961,0.055967,0.019315,0.019321
alice29.txt,bzip2,bzip2,6,43202,0.054642,0.054648,0.017646,0.017651
alice29.txt,bzip2,bzip2,7,43202,0.054348,0.054354,0.017216,0.017221
alice29.txt,bzip2,bzip2,8,43202,0.054589,0.054595,0.017503,0.017508
alice29.txt,bzip2,bzip2,9,43202,0.055077,0.056033,0.017417,0.017425
alice29.txt,copy,copy,,152089,0.000624,0.000629,0.000633,0.000638
alice29.txt,crush,crush,0,62188,0.148350,0.148270,0.005291,0.005231
alice29.txt,crush,crush,1,57160,0.193403,0.193369,0.004999,0.004936
alice29.txt,crush,crush,2,55992,0.256331,0.261767,0.004914,0.004848
alice29.txt,csc,csc,1,52294,0.244344,0.244277,0.014394,0.014295
alice29.txt,csc,csc,2,51480,0.349858,0.349845,0.014225,0.014086
alice29.txt,csc,csc,3,49748,0.395767,0.395774,0.014050,0.013948
alice29.txt,csc,csc,4,49343,0.406717,0.414012,0.013853,0.013785
alice29.txt,csc,csc,5,49019,0.784888,0.785046,0.013782,0.013712
alice29.txt,density,density,1,102171,0.002539,0.002545,0.002286,0.002292
alice29.txt,density,density,7,98649,0.006090,0.006095,0.005209,0.005214
alice29.txt,density,density,9,93193,0.010117,0.010273,0.011110,0.011115
alice29.txt,fari,fari,,63004,0.031616,0.031621,0.033563,0.033567
alice29.txt,fastlz,fastlz,1,85452,0.002959,0.002962,0.001509,0.001511
alice29.txt,fastlz,fastlz,2,84749,0.003136,0.003139,0.001636,0.001639
alice29.txt,gipfeli,gipfeli,,70625,0.004573,0.004697,0.002242,0.002247
alice29.txt,lz4,lz4f,0,88742,0.003608,0.003612,0.001210,0.001215
alice29.txt,lz4,lz4f,1,88742,0.003641,0.003688,0.001217,0.001222
alice29.txt,lz4,lz4f,2,88742,0.003616,0.003620,0.001217,0.001222
alice29.txt,lz4,lz4f,3,69399,0.015471,0.015476,0.001299,0.001303
