dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,1,59665,0.035383,0.035434,0.008955,0.009127
alice29.txt,brotli,brotli,2,58890,0.038184,0.038244,0.008654,0.008694
alice29.txt,brotli,brotli,3,58018,0.041073,0.041122,0.008420,0.008541
alice29.txt,brotli,brotli,4,57331,0.052979,0.053080,0.008533,0.008653
alice29.txt,brotli,brotli,5,52814,0.085940,0.086045,0.008246,0.008298
alice29.txt,brotli,brotli,6,51977,0.098289,0.098334,0.008244,0.008390
alice29.txt,brotli,brotli,7,51464,0.136653,0.136796,0.008130,0.008217
alice29.txt,brotli,brotli,8,51197,0.169899,0.169986,0.008119,0.008241
alice29.txt,brotli,brotli,9,51063,0.238405,0.238525,0.008120,0.008160
alice29.txt,brotli,brotli,10,46577,3.400221,3.401386,0.008290,0.008342
alice29.txt,brotli,brotli,11,46577,3.417880,3.419061,0.008253,0.008303
alice29.txt,bsc,bsc,,40558,0.113259,0.113786,0.073878,0.074388
alice29.txt,bzip2,bzip2,1,45995,0.099306,0.099357,0.034918,0.034938
alice29.txt,bzip2,bzip2,2,43202,0.098287,0.098399,0.038989,0.039005
alice29.txt,bzip2,bzip2,3,43202,0.098234,0.098258,0.039393,0.039427
alice29.txt,bzip2,bzip2,4,43202,0.097673,0.097972,0.039841,0.039867
alice29.txt,bzip2,bzip2,5,43202,0.097993,0.098010,0.039501,0.039545
alice29.txt,bzip2,bzip2,6,43202,0.098270,0.098288,0.039812,0.039844
alice29.txt,bzip2,bzip2,7,43202,0.099114,0.099197,0.040252,0.040286
alice29.txt,bzip2,bzip2,8,43202,0.098810,0.098849,0.039977,0.040013
alice29.txt,bzip2,bzip2,9,43202,0.098679,0.098713,0.039534,0.039549
alice29.txt,copy,copy,,152089,0.001506,0.001517,0.001528,0.001539
alice29.txt,crush,crush,0,62188,0.427651,0.428007,0.191682,0.191821
alice29.txt,crush,crush,1,57160,0.491534,0.491934,0.190903,0.191035
alice29.txt,crush,crush,2,55992,0.569390,0.569751,0.190843,0.190955
alice29.txt,csc,csc,1,52294,0.457340,0.458552,0.025904,0.026234
alice29.txt,csc,csc,2,51480,0.652181,0.652679,0.025335,0.025550
alice29.txt,csc,csc,3,49748,0.749333,0.749938,0.025204,0.025488
alice29.txt,csc,csc,4,49343,0.767608,0.768218,0.024961,0.025154
alice29.txt,csc,csc,5,49019,1.488786,1.490305,0.024737,0.024975
alice29.txt,density,density,1,102171,0.005284,0.005305,0.004353,0.004366
alice29.txt,density,density,7,98649,0.011090,0.011115,0.009183,0.009203
alice29.txt,density,density,9,93193,0.022517,0.022546,0.021439,0.021484
alice29.txt,fari,fari,,63004,0.043554,0.043651,0.048963,0.049027
alice29.txt,fastlz,fastlz,1,85452,0.004949,0.004968,0.002741,0.002754
alice29.txt,fastlz,fastlz,2,84749,0.005368,0.005405,0.003063,0.003151
alice29.txt,gipfeli,gipfeli,,70625,0.015239,0.015318,0.005918,0.005931
alice29.txt,lz4,lz4f,0,90772,0.009447,0.009547,0.003361,0.003374
