dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,1,57266,0.002063,0.002065,0.000628,0.000629
alice29.txt,brotli,brotli,2,56880,0.002485,0.002488,0.000609,0.000610
alice29.txt,brotli,brotli,3,56389,0.002709,0.002713,0.000590,0.000591
alice29.txt,brotli,brotli,4,55492,0.003633,0.003636,0.000592,0.000593
alice29.txt,brotli,brotli,5,52807,0.006136,0.006141,0.000568,0.000569
alice29.txt,brotli,brotli,6,51970,0.007244,0.007249,0.000554,0.000555
alice29.txt,brotli,brotli,7,51457,0.011223,0.011233,0.000547,0.000548
alice29.txt,brotli,brotli,8,51190,0.014724,0.014737,0.000546,0.000546
alice29.txt,brotli,brotli,9,51056,0.020890,0.020907,0.000546,0.000547
alice29.txt,brotli,brotli,10,47107,0.291940,0.292178,0.000628,0.000629
alice29.txt,brotli,brotli,11,47107,0.291937,0.292156,0.000628,0.000628
alice29.txt,bsc,bsc,,40558,0.013423,0.013434,0.007545,0.007551
alice29.txt,copy,copy,,152089,0.000073,0.000074,0.000080,0.000080
alice29.txt,crush,crush,0,62188,0.028286,0.028285,0.001229,0.001220
alice29.txt,crush,crush,1,57160,0.034420,0.034423,0.001146,0.001137
alice29.txt,crush,crush,2,55992,0.045110,0.045118,0.001125,0.001115
alice29.txt,csc,csc,1,52294,0.055290,0.055313,0.004012,0.004012
alice29.txt,csc,csc,2,51480,0.080384,0.080405,0.003990,0.003984
alice29.txt,csc,csc,3,49748,0.089117,0.089142,0.003843,0.003837
alice29.txt,csc,csc,4,49343,0.093055,0.093086,0.003816,0.003809
alice29.txt,csc,csc,5,49019,0.197238,0.197407,0.003756,0.003749
alice29.txt,density,density,1,102171,0.000351,0.000351,0.000286,0.000287
alice29.txt,density,density,7,98649,0.000569,0.000570,0.000500,0.000501
alice29.txt,density,density,9,93193,0.001213,0.001215,0.001267,0.001269
alice29.txt,fari,fari,,63004,0.005416,0.005420,0.007124,0.007130
alice29.txt,fastlz,fastlz,1,85452,0.001151,0.001152,0.001531,0.001533
alice29.txt,fastlz,fastlz,2,84749,0.001151,0.001152,0.001532,0.001533
alice29.txt,gipfeli,gipfeli,,70625,0.001263,0.001264,0.000578,0.000578
alice29.txt,lz4,lz4f,0,88742,0.000673,0.000674,0.000227,0.000228
alice29.txt,lz4,lz4f,1,88742,0.000676,0.000677,0.000227,0.000228
alice29.txt,lz4,lz4f,2,88742,0.000676,0.000677,0.000227,0.000227
alice29.txt,lz4,lz4f,3,69399,0.002745,0.002747,0.000240,0.000241
alice29.txt,lz4,lz4f,4,66818,0.003517,0.003520,0.000234,0.000235
alice29.txt,lz4,lz4f,5,65259,0.004343,0.004347,0.000233,0.000233
alice29.txt,lz4,lz4f,6,64430,0.005252,0.005257,0.000232,0.000233
alice29.txt,lz4,lz4f,7,63989,0.006182,0.006187,0.000230,0.000231
alice29.txt,lz4,lz4f,8,63782,0.006909,0.006915,0.000229,0.000230
alice29.txt,lz4,lz4f,9,63719,0.007537,0.007543,0.000229,0.000230
alice29.txt,lz4,lz4f,10,63699,0.008029,0.008035,0.000229,0.000230
alice29.txt,lz4,lz4f,11,63696,0.008270,0.008277,0.000229,0.000230
alice29.txt,lz4,lz4f,12,63696,0.008287,0.008294,0.000230,0.000230
alice29.txt,lz4,lz4f,13,63696,0.008341,0.008348,0.000229,0.000230
alice29.txt,lz4,lz4f,14,63696,0.008328,0.008335,0.000230,0.000230
alice29.txt,lz4,lz4f,15,63696,0.008302,0.008309,0.000229,0.000230
alice29.txt,lz4,lz4f,16,63696,0.008346,0.008353,0.000229,0.000230
alice29.txt,lz4,lz4,1,142520,0.000680,0.000680,0.001824,0.001826
alice29.txt,lz4,lz4,2,138914,0.000701,0.000702,0.001832,0.001834
alice29.txt,lz4,lz4,3,131230,0.000743,0.000744,0.001844,0.001846
alice29.txt,lz4,lz4,4,114924,0.000840,0.000841,0.001388,0.001390
