dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brieflz,brieflz,,67440,0.005007,0.005019,0.002379,0.002382
alice29.txt,brotli,brotli,1,57266,0.006136,0.006151,0.001433,0.001461
alice29.txt,brotli,brotli,2,56880,0.006991,0.007003,0.001404,0.001411
alice29.txt,brotli,brotli,3,56389,0.007677,0.007747,0.001356,0.001360
alice29.txt,brotli,brotli,4,55492,0.011026,0.011045,0.001387,0.001392
alice29.txt,brotli,brotli,5,52807,0.018102,0.018131,0.001342,0.001346
alice29.txt,brotli,brotli,6,51970,0.022337,0.022369,0.001327,0.001330
alice29.txt,brotli,brotli,7,51457,0.034653,0.034702,0.001302,0.001306
alice29.txt,brotli,brotli,8,51190,0.046404,0.046484,0.001297,0.001301
alice29.txt,brotli,brotli,9,51056,0.067751,0.067891,0.001304,0.001309
alice29.txt,brotli,brotli,10,47107,0.699611,0.700433,0.001411,0.001415
alice29.txt,brotli,brotli,11,47107,0.697866,0.698871,0.001431,0.001435
alice29.txt,bsc,bsc,,40558,0.030341,0.030387,0.016518,0.016548
alice29.txt,bzip2,bzip2,1,45995,0.027361,0.027405,0.009643,0.009657
alice29.txt,bzip2,bzip2,2,43202,0.027020,0.027068,0.010512,0.010530
alice29.txt,bzip2,bzip2,3,43202,0.026985,0.027038,0.010423,0.010441
alice29.txt,bzip2,bzip2,4,43202,0.026793,0.026844,0.009837,0.009855
alice29.txt,bzip2,bzip2,5,43202,0.027005,0.027048,0.010578,0.010597
alice29.txt,bzip2,bzip2,6,43202,0.026967,0.027014,0.010297,0.010314
alice29.txt,bzip2,bzip2,7,43202,0.026968,0.027021,0.010150,0.010182
alice29.txt,bzip2,bzip2,8,43202,0.027209,0.027474,0.010949,0.010968
alice29.txt,bzip2,bzip2,9,43202,0.027324,0.027371,0.009924,0.009941
alice29.txt,copy,copy,,152089,0.000282,0.000284,0.000336,0.000340
alice29.txt,crush,crush,0,62188,0.173244,0.174284,0.074290,0.075057
alice29.txt,crush,crush,1,57160,0.186422,0.187439,0.074140,0.074877
alice29.txt,crush,crush,2,55992,0.205401,0.206351,0.074068,0.075578
alice29.txt,csc,csc,1,52294,0.170504,0.171610,0.008878,0.008944
alice29.txt,csc,csc,2,51480,0.255454,0.256630,0.008734,0.008800
alice29.txt,csc,csc,3,49748,0.274862,0.276281,0.008597,0.008661
alice29.txt,csc,csc,4,49343,0.284427,0.285589,0.008526,0.008591
alice29.txt,csc,csc,5,49019,0.564936,0.566755,0.008482,0.008550
alice29.txt,density,density,1,102171,0.001089,0.001093,0.001021,0.001026
alice29.txt,density,density,7,98649,0.002571,0.002580,0.002488,0.002495
alice29.txt,density,density,9,93193,0.006142,0.006155,0.006991,0.007003
