dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,1,59665,0.002796,0.002782,0.001055,0.001042
alice29.txt,brotli,brotli,2,58890,0.003244,0.003226,0.001023,0.001008
alice29.txt,brotli,brotli,3,58018,0.003519,0.003500,0.000957,0.000943
alice29.txt,brotli,brotli,4,57331,0.004881,0.004882,0.000959,0.000949
alice29.txt,brotli,brotli,5,52814,0.007810,0.007785,0.000915,0.000902
alice29.txt,brotli,brotli,6,51977,0.009375,0.009346,0.000903,0.000890
alice29.txt,brotli,brotli,7,51464,0.013519,0.013491,0.000887,0.000874
alice29.txt,brotli,brotli,8,51197,0.017416,0.017394,0.000865,0.000852
alice29.txt,brotli,brotli,9,51063,0.026117,0.026097,0.000876,0.000864
alice29.txt,brotli,brotli,10,46577,0.342896,0.343034,0.000948,0.000935
alice29.txt,brotli,brotli,11,46577,0.343763,0.343911,0.000933,0.000921
alice29.txt,bsc,bsc,,40558,0.014878,0.014886,0.008611,0.008616
alice29.txt,bzip2,bzip2,1,45995,0.014297,0.014304,0.004992,0.004995
alice29.txt,bzip2,bzip2,2,43202,0.013840,0.013848,0.005128,0.005131
alice29.txt,bzip2,bzip2,3,43202,0.013885,0.013893,0.005130,0.005133
alice29.txt,bzip2,bzip2,4,43202,0.013873,0.013881,0.005128,0.005131
alice29.txt,bzip2,bzip2,5,43202,0.013770,0.013777,0.005129,0.005132
alice29.txt,bzip2,bzip2,6,43202,0.013772,0.013780,0.004922,0.004925
alice29.txt,bzip2,bzip2,7,43202,0.013778,0.013785,0.004922,0.004925
alice29.txt,bzip2,bzip2,8,43202,0.013773,0.013781,0.004922,0.004925
alice29.txt,bzip2,bzip2,9,43202,0.013883,0.013890,0.004921,0.004924
alice29.txt,copy,copy,,152089,0.000085,0.000085,0.000086,0.000087
alice29.txt,crush,crush,0,62188,0.048276,0.048250,0.001372,0.001358
alice29.txt,crush,crush,1,57160,0.057498,0.057499,0.001292,0.001279
alice29.txt,crush,crush,2,55992,0.070126,0.070119,0.001251,0.001240
alice29.txt,csc,csc,1,52294,0.065228,0.065228,0.004956,0.004942
alice29.txt,csc,csc,2,51480,0.112695,0.112703,0.004811,0.004792
alice29.txt,csc,csc,3,49748,0.096507,0.096529,0.004506,0.004486
alice29.txt,csc,csc,4,49343,0.110800,0.110815,0.004637,0.004618
alice29.txt,csc,csc,5,49019,0.218827,0.218888,0.004473,0.004454
alice29.txt,density,density,1,102171,0.000397,0.000398,0.000326,0.000327
alice29.txt,density,density,7,98649,0.000720,0.000721,0.000617,0.000618
alice29.txt,density,density,9,93193,0.001717,0.001719,0.001784,0.001785
alice29.txt,fari,fari,,63004,0.005797,0.005800,0.007339,0.007343
alice29.txt,fastlz,fastlz,1,85452,0.000835,0.000836,0.000492,0.000493
alice29.txt,fastlz,fastlz,2,84749,0.000854,0.000855,0.000511,0.000512
alice29.txt,gipfeli,gipfeli,,70625,0.000951,0.000952,0.000607,0.000607
alice29.txt,lz4,lz4f,0,88742,0.000726,0.000727,0.000181,0.000181
alice29.txt,lz4,lz4f,1,88742,0.000732,0.000732,0.000181,0.000182
alice29.txt,lz4,lz4f,2,88742,0.000726,0.000727,0.000181,0.000181
alice29.txt,lz4,lz4f,3,69399,0.003000,0.003002,0.000187,0.000187
alice29.txt,lz4,lz4f,4,66818,0.003791,0.003794,0.000184,0.000185
alice29.txt,lz4,lz4f,5,65259,0.004766,0.004769,0.000183,0.000184
