dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,,50096,0.160667,0.160698,0.001180,0.001182
alice29.txt,bsc,bsc,,40558,0.017562,0.017564,0.009956,0.009958
alice29.txt,bzip2,bzip2,1,45995,0.015769,0.015770,0.005693,0.005694
alice29.txt,bzip2,bzip2,2,43202,0.015797,0.015800,0.005972,0.005974
alice29.txt,bzip2,bzip2,3,43202,0.015656,0.015658,0.005858,0.005859
alice29.txt,bzip2,bzip2,4,43202,0.016142,0.016143,0.005993,0.005995
alice29.txt,bzip2,bzip2,5,43202,0.015860,0.015861,0.006516,0.006518
alice29.txt,bzip2,bzip2,6,43202,0.018116,0.018118,0.006007,0.006009
alice29.txt,bzip2,bzip2,7,43202,0.016114,0.016115,0.005820,0.005822
alice29.txt,bzip2,bzip2,8,43202,0.015296,0.015298,0.005759,0.005761
alice29.txt,bzip2,bzip2,9,43202,0.016437,0.016439,0.006314,0.006316
alice29.txt,crush,crush,0,62188,0.143446,0.143375,0.025521,0.025461
alice29.txt,crush,crush,1,57160,0.154050,0.153979,0.025873,0.025819
alice29.txt,crush,crush,2,55992,0.163805,0.163783,0.025005,0.024965
alice29.txt,density,density,1,102171,0.000451,0.000453,0.000384,0.000385
alice29.txt,density,density,7,98649,0.000761,0.000766,0.000696,0.000698
alice29.txt,density,density,9,85109,0.001491,0.001493,0.001464,0.001465
alice29.txt,doboz,doboz,,62983,0.032809,0.032813,0.000393,0.000395
alice29.txt,fari,fari,,63004,0.006520,0.006522,0.008425,0.008427
alice29.txt,fastlz,fastlz,1,85452,0.000954,0.000955,0.000532,0.000534
alice29.txt,fastlz,fastlz,2,84749,0.001008,0.001010,0.000588,0.000589
alice29.txt,gipfeli,gipfeli,,70625,0.001051,0.001052,0.000691,0.000693
alice29.txt,lz4,lz4,1,90735,0.000738,0.000740,0.000189,0.000190
alice29.txt,lz4,lz4,9,67586,0.007008,0.007011,0.000169,0.000170
alice29.txt,lz4,lz4f,0,90772,0.000931,0.000932,0.000308,0.000310
alice29.txt,lz4,lz4f,10,66500,0.008966,0.008968,0.000276,0.000278
alice29.txt,lz4,lz4f,11,66485,0.009413,0.009415,0.000277,0.000279
alice29.txt,lz4,lz4f,12,66485,0.009196,0.009198,0.000275,0.000277
alice29.txt,lz4,lz4f,13,66485,0.009219,0.009221,0.000276,0.000277
alice29.txt,lz4,lz4f,14,66485,0.009311,0.009313,0.000277,0.000278
