dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,1,59665,0.023290,0.023341,0.006115,0.006070
alice29.txt,brotli,brotli,2,58890,0.025907,0.025849,0.006107,0.006065
alice29.txt,brotli,brotli,3,58018,0.028326,0.028296,0.005943,0.005904
alice29.txt,brotli,brotli,4,57331,0.037526,0.037488,0.005854,0.005836
alice29.txt,brotli,brotli,5,52814,0.064927,0.064900,0.005718,0.005671
alice29.txt,brotli,brotli,6,51977,0.073395,0.073366,0.005618,0.005573
alice29.txt,brotli,brotli,7,51464,0.106685,0.106672,0.005701,0.005657
alice29.txt,brotli,brotli,8,51197,0.135157,0.135160,0.005674,0.005629
alice29.txt,brotli,brotli,9,51063,0.174645,0.174751,0.005736,0.005697
alice29.txt,brotli,brotli,10,46577,2.334621,2.335339,0.005729,0.005695
alice29.txt,brotli,brotli,11,46577,2.357167,2.359005,0.005847,0.005803
alice29.txt,bsc,bsc,,40558,0.087668,0.087825,0.049362,0.049415
alice29.txt,bzip2,bzip2,1,45995,0.071257,0.071299,0.024375,0.024392
alice29.txt,bzip2,bzip2,2,43202,0.069937,0.069955,0.028828,0.028844
alice29.txt,bzip2,bzip2,3,43202,0.069197,0.069215,0.028383,0.028406
alice29.txt,bzip2,bzip2,4,43202,0.069388,0.069414,0.028308,0.028330
alice29.txt,bzip2,bzip2,5,43202,0.071699,0.071758,0.028283,0.028303
alice29.txt,bzip2,bzip2,6,43202,0.069636,0.069674,0.028380,0.028406
alice29.txt,bzip2,bzip2,7,43202,0.071314,0.071351,0.028615,0.028633
alice29.txt,bzip2,bzip2,8,43202,0.070518,0.070555,0.028307,0.028325
alice29.txt,bzip2,bzip2,9,43202,0.069472,0.069503,0.028965,0.028984
alice29.txt,copy,copy,,152089,0.001069,0.001075,0.001119,0.001125
alice29.txt,crush,crush,0,62188,0.284510,0.284694,0.124232,0.124353
