dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,,50096,0.121184,0.121584,0.001110,0.001447
alice29.txt,bsc,bsc,,40558,0.012881,0.013183,0.008016,0.008816
alice29.txt,bzip2,bzip2,1,45995,0.012125,0.012116,0.004359,0.004356
alice29.txt,bzip2,bzip2,2,43202,0.011669,0.011660,0.004555,0.004551
alice29.txt,bzip2,bzip2,3,43202,0.011653,0.011645,0.004562,0.004559
alice29.txt,bzip2,bzip2,4,43202,0.011686,0.011677,0.004583,0.004580
alice29.txt,bzip2,bzip2,5,43202,0.011709,0.011701,0.004611,0.004608
alice29.txt,bzip2,bzip2,6,43202,0.011732,0.011723,0.004613,0.004611
alice29.txt,bzip2,bzip2,7,43202,0.011699,0.011692,0.004550,0.004547
alice29.txt,bzip2,bzip2,8,43202,0.011610,0.011601,0.004542,0.004539
alice29.txt,bzip2,bzip2,9,43202,0.011601,0.011593,0.004538,0.004534
alice29.txt,crush,crush,0,62188,0.049383,0.049305,0.019550,0.019485
alice29.txt,crush,crush,1,57160,0.055912,0.055841,0.019485,0.019415
alice29.txt,crush,crush,2,55992,0.065479,0.065405,0.019476,0.019410
alice29.txt,density,density,1,102171,0.000335,0.000335,0.000276,0.000276
alice29.txt,density,density,7,98649,0.000577,0.000577,0.000541,0.000541
alice29.txt,density,density,9,85109,0.001071,0.001070,0.000995,0.000995
alice29.txt,doboz,doboz,,62983,0.025412,0.025705,0.000669,0.001087
alice29.txt,fari,fari,,63004,0.004954,0.005281,0.006389,0.007435
alice29.txt,fastlz,fastlz,1,85452,0.001260,0.001607,0.001293,0.001626
alice29.txt,fastlz,fastlz,2,84749,0.001285,0.001682,0.001305,0.001978
alice29.txt,gipfeli,gipfeli,,70625,0.001339,0.001681,0.001411,0.001742
alice29.txt,lz4,lz4,1,90735,0.001135,0.001478,0.001088,0.001429
alice29.txt,lz4,lz4,9,67586,0.005333,0.006590,0.000626,0.001026
alice29.txt,lz4,lz4f,0,90772,0.000667,0.000667,0.000208,0.000208
alice29.txt,lz4,lz4f,10,66500,0.006616,0.006611,0.000186,0.000187
alice29.txt,lz4,lz4f,11,66485,0.006818,0.006812,0.000186,0.000186
alice29.txt,lz4,lz4f,12,66485,0.006841,0.006836,0.000188,0.000188
alice29.txt,lz4,lz4f,13,66485,0.006855,0.006850,0.000186,0.000186
alice29.txt,lz4,lz4f,14,66485,0.006828,0.006823,0.000186,0.000186
alice29.txt,lz4,lz4f,15,66485,0.006877,0.006871,0.000186,0.000186
alice29.txt,lz4,lz4f,16,66485,0.006844,0.006839,0.000186,0.000186
alice29.txt,lz4,lz4f,1,90772,0.000667,0.000666,0.000208,0.000208
alice29.txt,lz4,lz4f,2,90772,0.000667,0.000667,0.000207,0.000207
alice29.txt,lz4,lz4f,3,73822,0.002143,0.002142,0.000193,0.000193
alice29.txt,lz4,lz4f,4,70752,0.002716,0.002715,0.000190,0.000190
