dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,,50096,1.690935,1.691297,0.020888,0.020919
alice29.txt,bsc,bsc,,40558,0.164160,0.164331,0.104765,0.105065
alice29.txt,bzip2,bzip2,1,45995,0.145407,0.145628,0.049709,0.049787
alice29.txt,bzip2,bzip2,2,43202,0.143199,0.143524,0.053963,0.054012
alice29.txt,bzip2,bzip2,3,43202,0.142424,0.142479,0.051953,0.051981
alice29.txt,bzip2,bzip2,4,43202,0.142596,0.142776,0.048718,0.048776
alice29.txt,bzip2,bzip2,5,43202,0.142801,0.142998,0.054501,0.054610
alice29.txt,bzip2,bzip2,6,43202,0.141977,0.142024,0.054260,0.054362
alice29.txt,bzip2,bzip2,7,43202,0.142315,0.142491,0.053175,0.053202
alice29.txt,bzip2,bzip2,8,43202,0.143190,0.143409,0.053411,0.053464
alice29.txt,bzip2,bzip2,9,43202,0.142048,0.142107,0.054524,0.054603
alice29.txt,copy,copy,,152089,0.001823,0.001837,0.001977,0.001991
alice29.txt,crush,crush,0,62188,0.549709,0.550797,0.246957,0.247140
alice29.txt,crush,crush,1,57160,0.629697,0.630105,0.245676,0.245821
alice29.txt,crush,crush,2,55992,0.747863,0.749297,0.245340,0.245482
alice29.txt,csc,csc,1,55556,0.594607,0.595441,0.033363,0.033443
alice29.txt,csc,csc,2,53184,0.856460,0.857085,0.031264,0.031369
alice29.txt,csc,csc,3,51561,1.088906,1.089677,0.031731,0.031785
alice29.txt,csc,csc,4,50159,1.153396,1.153938,0.031008,0.031121
alice29.txt,csc,csc,5,49394,2.127231,2.128330,0.030358,0.030414
alice29.txt,density,density,1,102171,0.007063,0.007081,0.005913,0.005936
alice29.txt,density,density,7,98649,0.014226,0.014249,0.011976,0.011998
alice29.txt,density,density,9,84564,0.023027,0.023056,0.020255,0.020300
alice29.txt,fari,fari,,63004,0.065624,0.065743,0.072627,0.072658
alice29.txt,fastlz,fastlz,1,85452,0.007114,0.007137,0.004123,0.004131
alice29.txt,fastlz,fastlz,2,84749,0.007244,0.007256,0.004619,0.004630
alice29.txt,gipfeli,gipfeli,,70625,0.020632,0.020653,0.008413,0.008437
alice29.txt,lz4,lz4,10,64398,0.069289,0.069309,0.002836,0.002844
alice29.txt,lz4,lz4,11,63686,0.097076,0.097196,0.002617,0.002626
alice29.txt,lz4,lz4,12,63663,0.104305,0.104589,0.002883,0.002896
alice29.txt,lz4,lz4,13,63663,0.113056,0.113223,0.002901,0.002914
alice29.txt,lz4,lz4,14,63663,0.111031,0.111171,0.002758,0.002769
alice29.txt,lz4,lz4,7,90735,0.005472,0.005490,0.003262,0.003270
alice29.txt,lz4,lz4,8,73155,0.030597,0.030617,0.002922,0.002934
alice29.txt,lz4,lz4,9,66785,0.046416,0.046488,0.002762,0.002772
alice29.txt,lz4,lz4f,0,90772,0.010969,0.010998,0.004375,0.004391
alice29.txt,lz4,lz4f,10,63699,0.122803,0.122976,0.003670,0.003683
alice29.txt,lz4,lz4f,11,63696,0.122483,0.122640,0.003613,0.003625
alice29.txt,lz4,lz4f,12,63696,0.128876,0.128926,0.003811,0.003828
alice29.txt,lz4,lz4f,13,63696,0.125965,0.126026,0.003627,0.003639
alice29.txt,lz4,lz4f,14,63696,0.127958,0.128008,0.003612,0.003626
alice29.txt,lz4,lz4f,15,63696,0.124489,0.124561,0.003774,0.003788
alice29.txt,lz4,lz4f,16,63696,0.121852,0.121922,0.003783,0.003799
alice29.txt,lz4,lz4f,1,90772,0.011050,0.011085,0.004384,0.004398
alice29.txt,lz4,lz4f,2,90772,0.010880,0.010914,0.004584,0.004600
alice29.txt,lz4,lz4f,3,69399,0.042677,0.042750,0.003753,0.003765
alice29.txt,lz4,lz4f,4,66818,0.052561,0.052610,0.003714,0.003732
alice29.txt,lz4,lz4f,5,65259,0.064121,0.064183,0.003836,0.003851
alice29.txt,lz4,lz4f,6,64430,0.078621,0.078727,0.003757,0.003769
alice29.txt,lz4,lz4f,7,63989,0.091464,0.091521,0.003782,0.003795
