dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,,50096,0.142068,0.183966,0.002053,0.004286
alice29.txt,bsc,bsc,,40558,0.014237,0.014673,0.007973,0.008428
alice29.txt,bzip2,bzip2,1,45995,0.013419,0.013430,0.004755,0.004759
alice29.txt,bzip2,bzip2,2,43202,0.012964,0.012975,0.004861,0.004865
alice29.txt,bzip2,bzip2,3,43202,0.012841,0.012851,0.004864,0.004868
alice29.txt,bzip2,bzip2,4,43202,0.012796,0.012806,0.004861,0.004865
alice29.txt,bzip2,bzip2,5,43202,0.012714,0.012724,0.004931,0.004935
alice29.txt,bzip2,bzip2,6,43202,0.012939,0.012949,0.004695,0.004699
alice29.txt,bzip2,bzip2,7,43202,0.012885,0.012895,0.004720,0.004724
alice29.txt,bzip2,bzip2,8,43202,0.012854,0.012864,0.004653,0.004657
alice29.txt,bzip2,bzip2,9,43202,0.012839,0.012850,0.004679,0.004683
alice29.txt,crush,crush,0,62188,0.081010,0.081002,0.021326,0.021270
alice29.txt,crush,crush,1,57160,0.081631,0.081701,0.021472,0.021423
alice29.txt,crush,crush,2,55992,0.105258,0.105263,0.021238,0.021186
alice29.txt,doboz,doboz,,62983,0.026618,0.028243,0.000851,0.002185
alice29.txt,fari,fari,,63004,0.006547,0.007140,0.007949,0.008743
alice29.txt,fastlz,fastlz,1,85452,0.001599,0.002960,0.002435,0.004533
alice29.txt,fastlz,fastlz,2,84749,0.001804,0.003637,0.002403,0.004557
alice29.txt,gipfeli,gipfeli,,70625,0.001806,0.003584,0.001814,0.003660
alice29.txt,lz4,lz4,1,90735,0.001537,0.002688,0.002210,0.004630
alice29.txt,lz4,lz4,9,67586,0.006031,0.006448,0.001785,0.003703
alice29.txt,lzf,lzf,,82926,0.001671,0.003144,0.002315,0.003822
alice29.txt,lzg,lzg,1,96003,0.005304,0.005750,0.001268,0.002360
alice29.txt,lzg,lzg,2,92919,0.005740,0.007902,0.001281,0.002215
alice29.txt,lzg,lzg,3,89310,0.006409,0.006850,0.001276,0.002610
alice29.txt,lzg,lzg,4,85415,0.008610,0.010748,0.001098,0.001939
alice29.txt,lzg,lzg,5,81564,0.009563,0.009988,0.001219,0.002777
alice29.txt,lzg,lzg,6,78666,0.012079,0.014376,0.000988,0.001612
alice29.txt,lzg,lzg,7,76631,0.015937,0.016366,0.001087,0.002690
alice29.txt,lzg,lzg,8,76153,0.018967,0.020607,0.000996,0.001393
alice29.txt,lzg,lzg,9,75718,0.028906,0.029345,0.001030,0.002551
alice29.txt,lzham,lzham,0,62398,0.047534,0.016224,0.001566,0.001567
alice29.txt,lzham,lzham,1,51647,0.072322,0.026196,0.001213,0.001214
alice29.txt,lzham,lzham,2,51291,0.071994,0.024842,0.001200,0.001201
alice29.txt,lzham,lzham,3,51194,0.073054,0.025102,0.001207,0.001209
alice29.txt,lzham,lzham,4,51218,0.076247,0.027344,0.001214,0.001216
alice29.txt,lzjb,lzjb,,109146,0.001842,0.003860,0.002430,0.004404
alice29.txt,lzma,lzma,1,54160,0.012797,0.012807,0.003149,0.003152
alice29.txt,lzma,lzma,2,52683,0.014983,0.014994,0.003030,0.003033
alice29.txt,lzma,lzma,3,52085,0.018111,0.018125,0.002970,0.002973
alice29.txt,lzma,lzma,4,48841,0.046379,0.046415,0.002858,0.002861
alice29.txt,lzma,lzma,5,48467,0.056055,0.056098,0.002847,0.002849
alice29.txt,lzma,lzma,6,48448,0.055625,0.055672,0.002845,0.002848
alice29.txt,lzma,lzma,7,48448,0.060708,0.060756,0.002849,0.002852
alice29.txt,lzma,lzma,8,48448,0.070532,0.070587,0.002945,0.002948
alice29.txt,lzma,lzma,9,48448,0.070235,0.070300,0.002915,0.002918
alice29.txt,lzma,lzma1,1,54147,0.012863,0.012874,0.003222,0.003225
alice29.txt,lzma,lzma1,2,52670,0.015223,0.015234,0.003073,0.003076
alice29.txt,lzma,lzma1,3,52072,0.018152,0.018166,0.003025,0.003027
alice29.txt,lzma,lzma1,4,48828,0.046853,0.046889,0.002890,0.002892
alice29.txt,lzma,lzma1,5,48454,0.054292,0.054333,0.002863,0.002865
alice29.txt,lzma,lzma1,6,48435,0.055257,0.055299,0.002861,0.002863
alice29.txt,lzma,lzma1,7,48435,0.061827,0.061875,0.002871,0.002873
alice29.txt,lzma,lzma1,8,48435,0.069805,0.069859,0.002920,0.002922
alice29.txt,lzma,lzma1,9,48435,0.070325,0.070378,0.002905,0.002908
alice29.txt,lzma,lzma2,1,54148,0.012615,0.012624,0.003216,0.003219
alice29.txt,lzma,lzma2,2,52671,0.015100,0.015112,0.003066,0.003069
alice29.txt,lzma,lzma2,3,52073,0.018258,0.018273,0.003015,0.003017
alice29.txt,lzma,lzma2,4,48829,0.046358,0.046394,0.002891,0.002894
alice29.txt,lzma,lzma2,5,48455,0.054302,0.054344,0.002869,0.002872
alice29.txt,lzma,lzma2,6,48436,0.055062,0.055104,0.002917,0.002920
alice29.txt,lzma,lzma2,7,48436,0.061953,0.062000,0.002879,0.002882
alice29.txt,lzma,lzma2,8,48436,0.072667,0.072738,0.002922,0.002925
alice29.txt,lzma,lzma2,9,48436,0.070717,0.070791,0.002916,0.002918
alice29.txt,lzma,xz,1,54204,0.012961,0.012971,0.003367,0.003370
alice29.txt,lzma,xz,2,52728,0.015504,0.015517,0.003203,0.003206
alice29.txt,lzma,xz,3,52132,0.018320,0.018335,0.003145,0.003148
alice29.txt,lzma,xz,4,48888,0.046723,0.046759,0.003007,0.003009
alice29.txt,lzma,xz,5,48512,0.055947,0.055990,0.002988,0.002991
alice29.txt,lzma,xz,6,48492,0.057113,0.057158,0.003028,0.003031
alice29.txt,lzma,xz,7,48492,0.061024,0.061076,0.002990,0.002993
alice29.txt,lzma,xz,8,48492,0.070569,0.070624,0.003071,0.003074
alice29.txt,lzma,xz,9,48492,0.069808,0.069862,0.003072,0.003075
alice29.txt,lzo,lzo1,1,89547,0.001705,0.003549,0.002375,0.004326
alice29.txt,lzo,lzo1,99,74930,0.003036,0.005429,0.002009,0.003915
alice29.txt,lzo,lzo1a,1,88743,0.001835,0.003705,0.002356,0.004112
alice29.txt,lzo,lzo1a,99,74629,0.002919,0.006160,0.002039,0.003856
alice29.txt,lzo,lzo1b,1,82443,0.001924,0.003121,0.002291,0.004915
alice29.txt,lzo,lzo1b,2,79695,0.001861,0.002505,0.002302,0.004080
alice29.txt,lzo,lzo1b,3,77929,0.001983,0.003227,0.002422,0.004567
alice29.txt,lzo,lzo1b,4,79582,0.002153,0.003868,0.002244,0.003881
alice29.txt,lzo,lzo1b,5,77618,0.002067,0.004036,0.002152,0.002957
alice29.txt,lzo,lzo1b,6,76372,0.002318,0.004059,0.002262,0.003971
alice29.txt,lzo,lzo1b,7,75906,0.002253,0.004016,0.002314,0.004340
