dataset,plugin,codec,level,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brotli,brotli,1,59665,0.006952,0.007124,0.002014,0.002048
alice29.txt,brotli,brotli,2,58890,0.007728,0.007812,0.001945,0.001978
alice29.txt,brotli,brotli,3,58018,0.008358,0.008446,0.001873,0.001905
alice29.txt,brotli,brotli,4,57331,0.011482,0.011579,0.001925,0.002022
alice29.txt,brotli,brotli,5,52814,0.019468,0.019578,0.001815,0.001848
alice29.txt,brotli,brotli,6,51977,0.023194,0.023313,0.001814,0.001846
alice29.txt,brotli,brotli,7,51464,0.035761,0.035920,0.001781,0.001814
alice29.txt,brotli,brotli,8,51197,0.047053,0.047251,0.001766,0.001798
alice29.txt,brotli,brotli,9,51063,0.067423,0.067695,0.001803,0.001839
alice29.txt,brotli,brotli,10,46577,0.720176,0.721382,0.001875,0.001911
alice29.txt,brotli,brotli,11,46577,0.721417,0.723131,0.001872,0.001908
alice29.txt,bsc,bsc,,40558,0.030327,0.030377,0.016848,0.016884
alice29.txt,bzip2,bzip2,1,45995,0.026712,0.026759,0.009179,0.009196
alice29.txt,bzip2,bzip2,2,43202,0.026325,0.026377,0.010045,0.010067
alice29.txt,bzip2,bzip2,3,43202,0.026344,0.026397,0.010324,0.010345
alice29.txt,bzip2,bzip2,4,43202,0.026219,0.026366,0.009970,0.010053
alice29.txt,bzip2,bzip2,5,43202,0.026253,0.026305,0.010343,0.010368
alice29.txt,bzip2,bzip2,6,43202,0.026152,0.026197,0.009394,0.009412
alice29.txt,bzip2,bzip2,7,43202,0.026171,0.026221,0.009191,0.009209
alice29.txt,bzip2,bzip2,8,43202,0.026167,0.026222,0.008994,0.009015
alice29.txt,bzip2,bzip2,9,43202,0.026148,0.026195,0.008945,0.008964
alice29.txt,copy,copy,,152089,0.000343,0.000347,0.000335,0.000339
alice29.txt,crush,crush,0,62188,0.173370,0.174198,0.073864,0.074374
