dataset,plugin,codec,level,raw_size,compressed_size,compress_cpu,compress_wall,decompress_cpu,decompress_wall
alice29.txt,brieflz,brieflz,,152089,67440,0.002337,0.002337,0.000953,0.000953
alice29.txt,brotli,brotli,0,152089,65795,0.000887,0.000888,0.000720,0.000720
alice29.txt,brotli,brotli,10,152089,47489,0.104158,0.104163,0.000706,0.000707
alice29.txt,brotli,brotli,11,152089,46487,0.272028,0.272035,0.000627,0.000628
alice29.txt,brotli,brotli,1,152089,60292,0.001308,0.001308,0.000672,0.000672
alice29.txt,brotli,brotli,2,152089,57332,0.001989,0.001989,0.000619,0.000620
alice29.txt,brotli,brotli,3,152089,56886,0.002301,0.002302,0.000600,0.000600
alice29.txt,brotli,brotli,4,152089,55494,0.003752,0.003753,0.000584,0.000584
alice29.txt,brotli,brotli,5,152089,52807,0.006125,0.006125,0.000559,0.000559
alice29.txt,brotli,brotli,6,152089,51970,0.006978,0.006978,0.000548,0.000548
alice29.txt,brotli,brotli,7,152089,51457,0.011402,0.011403,0.000541,0.000542
alice29.txt,brotli,brotli,8,152089,51190,0.010089,0.010090,0.000536,0.000536
alice29.txt,brotli,brotli,9,152089,51056,0.021477,0.021480,0.000538,0.000538
alice29.txt,bsc,bsc,,152089,40558,0.013130,0.013131,0.007112,0.007113
alice29.txt,bzip2,bzip2,1,152089,45995,0.013250,0.013250,0.004719,0.004719
alice29.txt,bzip2,bzip2,2,152089,43202,0.012725,0.012726,0.004855,0.004855
alice29.txt,bzip2,bzip2,3,152089,43202,0.012637,0.012638,0.004831,0.004831
alice29.txt,bzip2,bzip2,4,152089,43202,0.012650,0.012651,0.004856,0.004856
alice29.txt,bzip2,bzip2,5,152089,43202,0.012639,0.012639,0.004829,0.004830
alice29.txt,bzip2,bzip2,6,152089,43202,0.012649,0.012649,0.004660,0.004661
alice29.txt,bzip2,bzip2,7,152089,43202,0.012644,0.012644,0.004637,0.004638
alice29.txt,bzip2,bzip2,8,152089,43202,0.012649,0.012649,0.004658,0.004659
alice29.txt,bzip2,bzip2,9,152089,43202,0.012645,0.012645,0.004637,0.004637
alice29.txt,copy,copy,,152089,152089,0.000074,0.000075,0.000082,0.000082
alice29.txt,crush,crush,0,152089,62188,0.025888,0.025891,0.001786,0.001786
alice29.txt,crush,crush,1,152089,57160,0.031879,0.031885,0.001663,0.001663
alice29.txt,crush,crush,2,152089,55992,0.041678,0.041709,0.001641,0.001641
alice29.txt,fari,fari,,152089,63004,0.005946,0.005946,0.006944,0.006944
alice29.txt,fastlz,fastlz,1,152089,85452,0.000906,0.000907,0.000506,0.000507
alice29.txt,fastlz,fastlz,2,152089,84749,0.000962,0.000962,0.000507,0.000508
alice29.txt,gipfeli,gipfeli,,152089,70625,0.000968,0.000968,0.000958,0.000958
alice29.txt,heatshrink,heatshrink,,152089,79050,0.018071,0.018072,0.002248,0.002248
alice29.txt,libdeflate,deflate,10,152089,51688,0.019893,0.019894,0.000332,0.000332
alice29.txt,libdeflate,deflate,11,152089,51628,0.024491,0.024492,0.000331,0.000331
alice29.txt,libdeflate,deflate,1,152089,59983,0.001632,0.001632,0.000424,0.000424
alice29.txt,libdeflate,deflate,12,152089,51542,0.029076,0.029077,0.000332,0.000333
alice29.txt,libdeflate,deflate,2,152089,57489,0.001871,0.001871,0.000400,0.000401
alice29.txt,libdeflate,deflate,3,152089,56522,0.002147,0.002148,0.000391,0.000391
alice29.txt,libdeflate,deflate,4,152089,55828,0.002474,0.002475,0.000384,0.000384
alice29.txt,libdeflate,deflate,5,152089,54861,0.002783,0.002784,0.000396,0.000396
alice29.txt,libdeflate,deflate,6,152089,54390,0.003332,0.003332,0.000392,0.000392
alice29.txt,libdeflate,deflate,7,152089,54033,0.004137,0.004138,0.000389,0.000390
